gate_decision,mean_boltz2_directional_derivative,mean_oracle_harm_rate,mean_protenix_directional_derivative,mean_step_norm,mean_worst_oracle_directional_derivative,method,method_id,num_rows,num_seeds,num_targets,zero_harm,zero_harm_targets
pass,-0.08581153750419616,0.0,-2.0539063647389413,0.5751775860786438,-0.014516514888964594,pcgrad_normalized,M11a,20,4,5,True,5
baseline,-0.0721721719019115,0.0,-1.8766541175544262,0.502151682972908,-0.01348073307890445,normalized_weighted,M4,20,4,5,True,5
fail,-0.016297696996480225,0.0,-0.43882590867578986,0.10979388728737831,-0.002828302310081199,balanced_zero_harm_cone,M10a,20,4,5,True,5
fail,-0.06662339356262237,0.08,-5.426425168663263,0.8098989740014076,0.004542324853537139,contact_preserving_soft_cone,M7c,20,4,5,False,1
fail,-0.042303594504483046,0.25,-7.98249554336071,1.057318003475666,0.03724161157297203,naive_weighted,M3,20,4,5,False,0
fail,-0.029213805100880563,0.37,-7.47346759736538,0.96093041151762,0.03643621428636834,contact_qp_grid,M8a,20,4,5,False,0
