cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_id,oracle_harm_rate,seed,sequence_entropy,sequence_entropy_delta,step,step_norm,worst_oracle_directional_derivative
-0.048391080190331906,0.031078627759425034,0.006745208709353723,-0.07914079169828159,0.0,0.18841830425486517,-0.0005324311787262559,-4.520824909210205,-0.00996212288737297,0.04562828689813614,0.0009901541052386165,3.6341052055358887,0.11291849613189697,3.3392081260681152,-1.121422794094542,single_protenix_contact,M1,0.25,0,2.7846856117248535,-0.3760349750518799,0,0.9464664459228516,0.04562828689813614
-0.04319786714549971,0.020347072012853094,0.06610619911015983,-0.029019351752228723,0.0,0.16186681940052877,-0.0006493639666587114,-2.771358013153076,-0.00852023996412754,-0.017228178679943085,0.000529298500623554,3.0862767696380615,0.10304787009954453,3.383141279220581,-0.6994389489409514,single_protenix_contact,M1,0.0,0,2.4086506366729736,-0.09915304183959961,1,0.7826181054115295,-0.0006493639666587114
-0.05753857986907107,-0.06098384588579324,0.10568235121997806,0.034811737368764584,0.0,0.18127306112363106,0.0004346539790276438,-1.8344651460647583,-0.01020208653062582,-0.01510384026914835,7.910045678727329e-05,2.5937654972076416,0.09461292624473572,3.362133502960205,-0.4648341047213762,single_protenix_contact,M1,0.25,0,2.309497594833374,-0.020144224166870117,2,0.6492391228675842,0.0004346539790276438
-0.048391080190331906,0.031078627759425034,0.006745208709353723,-0.07914079169828159,0.0,0.18841830425486517,-0.0005949728656560183,-4.481407165527344,-0.046961065381765366,-0.016241226345300674,0.0009901541052386165,3.6341052055358887,0.11291849613189697,3.3392081260681152,-1.1363011075300165,naive_weighted,M3,0.0,0,2.7846856117248535,-0.37974119186401367,0,0.9489558339118958,-0.0005949728656560183
-0.05149242181981874,0.03235645450557039,0.020778543122996818,0.05466310063879617,0.0,0.1635176673552469,-0.00015642389189451933,-1.2204868793487549,-0.011494353413581848,-0.06386499851942062,0.00048455942305736244,3.0532846450805664,0.0686507523059845,3.3226444721221924,-0.32400066379341297,naive_weighted,M3,0.0,0,2.40494441986084,-0.0484623908996582,1,0.5351983308792114,-0.00015642389189451933
-0.054710397827851795,0.11365014649463923,-0.014727503889029138,-0.0978653353790851,0.0,0.17660001675118417,-0.0005743822548538446,-0.6406915783882141,-0.013874969445168972,-0.039947573095560074,0.0003407592885196209,2.7267253398895264,0.05756094306707382,3.2534780502319336,-0.17377212579594925,naive_weighted,M3,0.0,0,2.3564820289611816,0.015947818756103516,2,0.4086921811103821,-0.0005743822548538446
-0.048391080190331906,0.031078627759425034,0.006745208709353723,-0.07914079169828159,0.0,0.18841830425486517,-0.006217488553375006,-1.1686248779296875,-0.1156248077750206,-0.1309588998556137,0.0009901541052386165,3.6341052055358887,0.11291849613189697,3.3392081260681152,-0.3553565185284242,normalized_weighted,M4,0.0,0,2.7846856117248535,-0.13103771209716797,0,0.4794943630695343,-0.006217488553375006
0.10733056760804072,0.08220865791821914,-0.14885555858558808,-0.05635627264278126,0.0,0.16827470199884814,-0.016330132260918617,-1.352110743522644,-0.02977561205625534,-0.11525724828243256,0.004533056169748306,3.547701835632324,0.022543013095855713,3.2050437927246094,-0.37836843403056264,normalized_weighted,M4,0.0,0,2.6536478996276855,-0.08209037780761719,1,0.44645410776138306,-0.016330132260918617
-0.05545598611693355,0.08003378480840183,-0.24859348221175606,-0.09994959644557211,0.0,0.16956476534586848,-0.011254836805164814,-0.9600164890289307,-0.004995343275368214,-0.0560397133231163,0.0029100654646754265,2.967527389526367,0.005084846168756485,3.0905942916870117,-0.258076595608145,normalized_weighted,M4,0.0,0,2.5715575218200684,-0.11624717712402344,2,0.38033488392829895,-0.004995343275368214
-0.048391080190331906,0.031078627759425034,0.006745208709353723,-0.07914079169828159,0.0,0.18841830425486517,-0.006217488553375006,-1.1686248779296875,-0.1156248077750206,-0.1309588998556137,0.0009901541052386165,3.6341052055358887,0.11291849613189697,3.3392081260681152,-0.3553565185284242,soft_cone_correction,M6,0.0,0,2.7846856117248535,-0.13103771209716797,0,0.4794943630695343,-0.006217488553375006
0.10733056760804072,0.08220865791821914,-0.14885555858558808,-0.05635627264278126,0.0,0.16827470199884814,-0.016330132260918617,-1.352110743522644,-0.02977561205625534,-0.11525724828243256,0.004533056169748306,3.547701835632324,0.022543013095855713,3.2050437927246094,-0.37836843403056264,soft_cone_correction,M6,0.0,0,2.6536478996276855,-0.08209037780761719,1,0.44645410776138306,-0.016330132260918617
-0.05545598611693355,0.08003378480840183,-0.24859348221175606,-0.09994959644557211,0.0,0.16956476534586848,-0.011254836805164814,-0.9600164890289307,-0.004995343275368214,-0.0560397133231163,0.0029100654646754265,2.967527389526367,0.005084846168756485,3.0905942916870117,-0.258076595608145,soft_cone_correction,M6,0.0,0,2.5715575218200684,-0.11624717712402344,2,0.38033488392829895,-0.004995343275368214
-0.048391080190331906,0.031078627759425034,0.006745208709353723,-0.07914079169828159,0.0,0.18841830425486517,-0.0005949728656560183,-4.481407165527344,-0.046961065381765366,-0.016241226345300674,0.0009901541052386165,3.6341052055358887,0.11291849613189697,3.3392081260681152,-1.1363011075300165,contact_preserving_soft_cone,M7,0.0,0,2.7846856117248535,-0.37974119186401367,0,0.9489558339118958,-0.0005949728656560183
-0.05149242181981874,0.03235645450557039,0.020778543122996818,0.05466310063879617,0.0,0.1635176673552469,-0.00012876145774498582,-1.2545068264007568,0.01400581281632185,-0.004460867960005999,0.00048455942305736244,3.0532846450805664,0.0686507523059845,3.3226444721221924,-0.3112726607505465,contact_preserving_soft_cone,M7,0.25,0,2.40494441986084,-0.051126956939697266,1,0.5314414501190186,0.01400581281632185
-0.04891115509797229,0.06017300092365209,0.11688296126692052,0.0012225011371221315,0.0,0.17415629470450622,-0.00030198413878679276,-0.6543026566505432,-0.04185006394982338,-0.06499980390071869,0.0003643519012257457,2.7346935272216797,0.08317065238952637,3.3148534297943115,-0.19036362715996802,contact_preserving_soft_cone,M7,0.0,0,2.3538174629211426,0.0022873878479003906,2,0.42193883657455444,-0.00030198413878679276
-0.030581315756647985,-0.012646787163492521,0.048416879828886907,-0.015839440892644305,0.0,0.21768900318540824,0.003128728363662958,-14.865518569946289,-0.04398534819483757,0.08864165842533112,0.006739187519997358,3.7415008544921875,0.11875367164611816,3.3163044452667236,-3.704433382838033,single_protenix_contact,M1,0.5,1,2.693592071533203,-0.704837441444397,0,1.545881748199463,0.08864165842533112
