aux_harm_count,aux_worst_directional_derivative,cos_boltz2_distogram_contact__charge_target,cos_boltz2_distogram_contact__solubility_limit,cos_boltz2_distogram_contact__trigram_naturalness,cos_charge_target__trigram_naturalness,cos_protenix_contact__boltz2_distogram_contact,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_boltz2_distogram_contact,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_boltz2_distogram_contact,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.0005605905898846686,0.07977535349916096,-0.15029645122449062,-0.008880858189072688,-0.04839103680150054,0.2014569788084093,0.029923924074899327,0.00278792343514949,-0.07993847660487237,0.0,0.18841816057949368,-0.02505740523338318,-0.0005605905898846686,-4.243894577026367,-0.043587133288383484,-0.016492925584316254,0.0,0.05286668986082077,0.19015628099441528,0.0,0.0,-0.22107835114002228,0.0009901541052386165,3.6296069622039795,0.11291849613189697,3.339200496673584,-0.865918526344467,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-4.243894577026367,protenix_contact,0.9286494255065918,,,,,,,,0,2.7846856117248535,2.4151291847229004,-0.3695564270019531,0,0.9286494255065918,1.0,-0.0005605905898846686
0,-0.006579624023288488,0.07977535349916096,-0.15029645122449062,-0.008880858189072688,-0.04839103680150054,0.2014569788084093,0.029923924074899327,0.00278792343514949,-0.07993847660487237,0.0,0.18841816057949368,-0.029634559527039528,-0.006579624023288488,-1.302790880203247,-0.09463177621364594,-0.12151000648736954,0.0,0.0582580529153347,0.17174677550792694,0.0,0.0,-0.22107835114002228,0.0009901541052386165,3.6296069622039795,0.11291849613189697,3.339200496673584,-0.3110293692909181,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-1.302790880203247,protenix_contact,0.5265793800354004,,,,,,,,0,2.7846856117248535,2.6206843852996826,-0.1640012264251709,0,0.5265793800354004,1.0,-0.006579624023288488
1,0.04526195302605629,0.07977535349916096,-0.15029645122449062,-0.008880858189072688,-0.04839103680150054,0.2014569788084093,0.029923924074899327,0.00278792343514949,-0.07993847660487237,0.0,0.18841816057949368,-0.025039922446012497,-0.0005024600541219115,-4.261964797973633,-0.007870395667850971,0.04526195302605629,0.0,0.05241883546113968,0.19003048539161682,0.0,0.0,-0.22107835114002228,0.0009901541052386165,3.6296069622039795,0.11291849613189697,3.339200496673584,-0.8500231246231124,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.2,-4.261964797973633,protenix_contact,0.920638382434845,,,,,,,,0,2.7846856117248535,2.423707962036133,-0.3609776496887207,0,0.920638382434845,1.0,0.04526195302605629
1,0.04526195302605629,0.07977535349916096,-0.15029645122449062,-0.008880858189072688,-0.04839103680150054,0.2014569788084093,0.029923924074899327,0.00278792343514949,-0.07993847660487237,0.0,0.18841816057949368,-0.025039922446012497,-0.0005024600541219115,-4.261964797973633,-0.007870395667850971,0.04526195302605629,0.0,0.05241883546113968,0.19003048539161682,0.0,0.0,-0.22107835114002228,0.0009901541052386165,3.6296069622039795,0.11291849613189697,3.339200496673584,-0.8500231246231124,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.2,-4.261964797973633,protenix_contact,0.920638382434845,-4.261964797973633,-2.5571788787841796,0.0,0.7104814052581787,0.0,True,0.9999999999997653,0,2.7846856117248535,2.423707962036133,-0.3609776496887207,0,0.920638382434845,1.0,0.04526195302605629
2,0.05003231018781662,0.04695337727747812,-0.058475701839081975,0.009843018563652536,-0.030581398860797377,0.26122148818101176,-0.01214626950576679,0.04683324571957212,-0.01711786995551136,0.0,0.2176889423938673,-0.11411406099796295,0.002694033784791827,-14.442390441894531,-0.06324350833892822,0.05003231018781662,0.0,0.0918726772069931,0.2716534733772278,0.0,0.0,-0.20947152376174927,0.006739187519997358,3.737758159637451,0.11875367164611816,3.316297769546509,-2.913404333451763,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.4,-14.442390441894531,protenix_contact,1.5274200439453125,,,,,,,,1,2.693592071533203,1.9976705312728882,-0.6959215402603149,0,1.5274200439453125,1.0,0.05003231018781662
0,-0.01580711454153061,0.04695337727747812,-0.058475701839081975,0.009843018563652536,-0.030581398860797377,0.26122148818101176,-0.01214626950576679,0.04683324571957212,-0.01711786995551136,0.0,0.2176889423938673,-0.08808176219463348,-0.01580711454153061,-3.2846364974975586,-0.1139637678861618,-0.14527387917041779,0.0,0.08132383227348328,0.20504635572433472,0.0,0.0,-0.20947152376174927,0.006739187519997358,3.737758159637451,0.11875367164611816,3.316297769546509,-0.7295526042580605,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-3.2846364974975586,protenix_contact,0.5433874130249023,,,,,,,,1,2.693592071533203,2.5221269130706787,-0.17146515846252441,0,0.5433874130249023,1.0,-0.01580711454153061
0,-0.01580711454153061,0.04695337727747812,-0.058475701839081975,0.009843018563652536,-0.030581398860797377,0.26122148818101176,-0.01214626950576679,0.04683324571957212,-0.01711786995551136,0.0,0.2176889423938673,-0.08808176219463348,-0.01580711454153061,-3.2846364974975586,-0.1139637678861618,-0.14527387917041779,0.0,0.08132383227348328,0.20504635572433472,0.0,0.0,-0.20947152376174927,0.006739187519997358,3.737758159637451,0.11875367164611816,3.316297769546509,-0.7295526042580605,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.0,-3.2846364974975586,protenix_contact,0.5433874130249023,,,,,,,,1,2.693592071533203,2.5221269130706787,-0.17146515846252441,0,0.5433874130249023,1.0,-0.01580711454153061
2,0.05003231018781662,0.04695337727747812,-0.058475701839081975,0.009843018563652536,-0.030581398860797377,0.26122148818101176,-0.01214626950576679,0.04683324571957212,-0.01711786995551136,0.0,0.2176889423938673,-0.11411406099796295,0.002694033784791827,-14.442390441894531,-0.06324350833892822,0.05003231018781662,0.0,0.0918726772069931,0.2716534733772278,0.0,0.0,-0.20947152376174927,0.006739187519997358,3.737758159637451,0.11875367164611816,3.316297769546509,-2.913404333451763,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.4,-14.442390441894531,protenix_contact,1.5274200439453125,-14.496405601501465,-8.697843360900878,0.0,1.3499802350997925,0.0,True,0.9962738929157491,1,2.693592071533203,1.9976705312728882,-0.6959215402603149,0,1.5274200439453125,1.0,0.05003231018781662
0,-0.00624740170314908,0.03902439467026724,-0.03774521304367178,-0.023309987795292402,-0.027839239434478323,-0.0673015823578847,0.13264961343181006,-0.10603000180716934,-0.04448661165251595,0.0,0.20578781978210142,-0.06755862385034561,-0.00624740170314908,-0.7798742651939392,-0.03164087235927582,-0.0714779794216156,0.0,0.06459229439496994,0.1803489625453949,0.0,0.0,-0.1863095611333847,0.010491056367754936,4.133706092834473,0.09057851880788803,3.35139536857605,-0.19135982850566507,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-0.7798742651939392,protenix_contact,0.4590075612068176,,,,,,,,2,2.749011516571045,2.631263256072998,-0.11774826049804688,0,0.4590075612068176,1.0,-0.00624740170314908
0,-0.02283059060573578,0.03902439467026724,-0.03774521304367178,-0.023309987795292402,-0.027839239434478323,-0.0673015823578847,0.13264961343181006,-0.10603000180716934,-0.04448661165251595,0.0,0.20578781978210142,-0.13190868496894836,-0.02283059060573578,-0.39196622371673584,-0.09741443395614624,-0.138514444231987,0.0,0.06457461416721344,0.17985586822032928,0.0,0.0,-0.1863095611333847,0.010491056367754936,4.133706092834473,0.09057851880788803,3.35139536857605,-0.15652687549591066,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-0.39196622371673584,protenix_contact,0.5209483504295349,,,,,,,,2,2.749011516571045,2.6178226470947266,-0.13118886947631836,0,0.5209483504295349,1.0,-0.02283059060573578
