aux_harm_count,aux_worst_directional_derivative,cos_boltz2_distogram_contact__charge_target,cos_boltz2_distogram_contact__solubility_limit,cos_boltz2_distogram_contact__trigram_naturalness,cos_charge_target__trigram_naturalness,cos_protenix_contact__boltz2_distogram_contact,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_boltz2_distogram_contact,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_boltz2_distogram_contact,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
1,0.0007087757112458348,0.14248553186021304,-0.294732970340852,-0.02536376057973205,-0.04839103680150054,-0.041198937203379596,0.02864549814508408,-0.017128610857185436,-0.009277928917183707,0.0,0.18841816057949368,-0.0009641153737902641,0.0007087757112458348,-7.04184627532959,-0.0694495439529419,-0.08288703858852386,0.0,0.05178824067115784,0.20148321986198425,0.0,0.0,-0.18303437530994415,0.0009901541052386165,3.5952203273773193,0.11291849613189697,3.339200496673584,-1.43888763950672,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.2,-7.04184627532959,protenix_contact,1.1533184051513672,,,,,,,,0,2.7846856117248535,2.323395252227783,-0.4612903594970703,0,1.1533184051513672,1.0,0.0007087757112458348
0,-0.006807737052440643,0.14248553186021304,-0.294732970340852,-0.02536376057973205,-0.04839103680150054,-0.041198937203379596,0.02864549814508408,-0.017128610857185436,-0.009277928917183707,0.0,0.18841816057949368,-0.04141172394156456,-0.006807737052440643,-1.7212715148925781,-0.08493863046169281,-0.13686373829841614,0.0,0.06261970102787018,0.17456930875778198,0.0,0.0,-0.18303437530994415,0.0009901541052386165,3.5952203273773193,0.11291849613189697,3.339200496673584,-0.3982586689293385,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-1.7212715148925781,protenix_contact,0.5121527314186096,,,,,,,,0,2.7846856117248535,2.6239662170410156,-0.1607193946838379,0,0.5121527314186096,1.0,-0.006807737052440643
1,0.0007087757112458348,0.14248553186021304,-0.294732970340852,-0.02536376057973205,-0.04839103680150054,-0.041198937203379596,0.02864549814508408,-0.017128610857185436,-0.009277928917183707,0.0,0.18841816057949368,-0.0009641153737902641,0.0007087757112458348,-7.04184627532959,-0.0694495439529419,-0.08288703858852386,0.0,0.05178824067115784,0.20148321986198425,0.0,0.0,-0.18303437530994415,0.0009901541052386165,3.5952203273773193,0.11291849613189697,3.339200496673584,-1.43888763950672,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.2,-7.04184627532959,protenix_contact,1.1533184051513672,,,,,,,,0,2.7846856117248535,2.323395252227783,-0.4612903594970703,0,1.1533184051513672,1.0,0.0007087757112458348
2,0.004202823154628277,0.14248553186021304,-0.294732970340852,-0.02536376057973205,-0.04839103680150054,-0.041198937203379596,0.02864549814508408,-0.017128610857185436,-0.009277928917183707,0.0,0.18841816057949368,0.004202823154628277,0.0009521781466901302,-6.9825544357299805,-0.042828623205423355,-0.028383705765008926,0.0,0.05124889314174652,0.1991819143295288,0.0,0.0,-0.18303437530994415,0.0009901541052386165,3.5952203273773193,0.11291849613189697,3.339200496673584,-1.4097223526798188,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.4,-6.9825544357299805,protenix_contact,1.1308573484420776,-7.04184627532959,-4.2251077651977536,0.0,0.9453246593475342,0.0,True,0.9915800718615054,0,2.7846856117248535,2.3362574577331543,-0.4484281539916992,0,1.1308573484420776,1.0,0.004202823154628277
4,0.03607557341456413,0.10499193914354636,-0.2401083016746585,-0.026882541244130205,-0.030581398860797377,-0.06898058774633296,-0.054462583711313774,-0.05248101189196527,-0.03374373656018708,0.0,0.2176889423938673,0.00474457535892725,0.00408403854817152,-15.329229354858398,0.00905684381723404,0.03607557341456413,0.0,0.08968048542737961,0.275571346282959,0.0,0.0,-0.16740310192108154,0.006739187519997358,3.7158737182617188,0.11875367164611816,3.316297769546509,-3.0550536647439004,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.8,-15.329229354858398,protenix_contact,1.5232369899749756,,,,,,,,1,2.693592071533203,2.005427122116089,-0.6881649494171143,0,1.5232369899749756,1.0,0.03607557341456413
0,-0.016551241278648376,0.10499193914354636,-0.2401083016746585,-0.026882541244130205,-0.030581398860797377,-0.06898058774633296,-0.054462583711313774,-0.05248101189196527,-0.03374373656018708,0.0,0.2176889423938673,-0.0547768771648407,-0.016551241278648376,-2.3463048934936523,-0.08814455568790436,-0.14471276104450226,0.0,0.08205778896808624,0.2042735069990158,0.0,0.0,-0.16740310192108154,0.006739187519997358,3.7158737182617188,0.11875367164611816,3.316297769546509,-0.5300980657339096,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-2.3463048934936523,protenix_contact,0.49894067645072937,,,,,,,,1,2.693592071533203,2.5555238723754883,-0.13806819915771484,0,0.49894067645072937,1.0,-0.016551241278648376
0,-0.016551241278648376,0.10499193914354636,-0.2401083016746585,-0.026882541244130205,-0.030581398860797377,-0.06898058774633296,-0.054462583711313774,-0.05248101189196527,-0.03374373656018708,0.0,0.2176889423938673,-0.0547768771648407,-0.016551241278648376,-2.3463048934936523,-0.08814455568790436,-0.14471276104450226,0.0,0.08205778896808624,0.2042735069990158,0.0,0.0,-0.16740310192108154,0.006739187519997358,3.7158737182617188,0.11875367164611816,3.316297769546509,-0.5300980657339096,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.0,-2.3463048934936523,protenix_contact,0.49894067645072937,,,,,,,,1,2.693592071533203,2.5555238723754883,-0.13806819915771484,0,0.49894067645072937,1.0,-0.016551241278648376
4,0.03607557341456413,0.10499193914354636,-0.2401083016746585,-0.026882541244130205,-0.030581398860797377,-0.06898058774633296,-0.054462583711313774,-0.05248101189196527,-0.03374373656018708,0.0,0.2176889423938673,0.00474457535892725,0.00408403854817152,-15.329229354858398,0.00905684381723404,0.03607557341456413,0.0,0.08968048542737961,0.275571346282959,0.0,0.0,-0.16740310192108154,0.006739187519997358,3.7158737182617188,0.11875367164611816,3.316297769546509,-3.0550536647439004,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.8,-15.329229354858398,protenix_contact,1.5232369899749756,-15.413692474365234,-9.24821548461914,0.0,1.3528703451156616,0.0,True,0.9945202540112759,1,2.693592071533203,2.005427122116089,-0.6881649494171143,0,1.5232369899749756,1.0,0.03607557341456413
1,0.003979681991040707,0.121564901226528,-0.37398727815594457,-0.10107287162650937,-0.027839239434478323,0.25100377101168236,0.01884199646483942,0.13340098661347538,0.09089365979057795,0.0,0.20578781978210142,-0.09156719595193863,0.003979681991040707,-43.204437255859375,-0.12975198030471802,-0.2192164957523346,0.0,0.11230214685201645,0.3583277463912964,0.0,0.0,-0.14207161962985992,0.010491056367754936,3.9868953227996826,0.09057851880788803,3.35139536857605,-8.728198649175464,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.2,-43.204437255859375,protenix_contact,2.181791067123413,,,,,,,,2,2.749011516571045,1.6052817106246948,-1.14372980594635,0,2.181791067123413,1.0,0.003979681991040707
0,-0.021801436319947243,0.121564901226528,-0.37398727815594457,-0.10107287162650937,-0.027839239434478323,0.25100377101168236,0.01884199646483942,0.13340098661347538,0.09089365979057795,0.0,0.20578781978210142,-0.06755377352237701,-0.021801436319947243,-10.541910171508789,-0.08557303249835968,-0.13764239847660065,0.0,0.06713715195655823,0.18122881650924683,0.0,0.0,-0.14207161962985992,0.010491056367754936,3.9868953227996826,0.09057851880788803,3.35139536857605,-2.1708961624652146,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-10.541910171508789,protenix_contact,0.5316341519355774,,,,,,,,2,2.749011516571045,2.6088993549346924,-0.14011216163635254,0,0.5316341519355774,1.0,-0.021801436319947243
