aux_harm_count,aux_worst_directional_derivative,cos_boltz2_distogram_contact__charge_target,cos_boltz2_distogram_contact__solubility_limit,cos_boltz2_distogram_contact__trigram_naturalness,cos_charge_target__trigram_naturalness,cos_protenix_contact__boltz2_distogram_contact,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_boltz2_distogram_contact,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_boltz2_distogram_contact,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.0008190905791707337,0.0779405672065022,-0.15906294624070433,-0.01402318524800074,-0.04839103680150054,0.2060159036111024,0.03578452797290393,0.0007159849085387151,-0.08028227718181319,0.0,0.18841816057949368,-0.026405468583106995,-0.0008190905791707337,-4.768059730529785,-0.04306762292981148,-0.012747189961373806,0.0,0.056205518543720245,0.19545595347881317,0.0,0.0,-0.2206927239894867,0.0009901541052386165,3.6365973949432373,0.11291849613189697,3.339200973510742,-0.9702198205166497,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-4.768059730529785,protenix_contact,0.9803727865219116,,,,,,,,0,2.7846856117248535,2.386676073074341,-0.3980095386505127,0,0.9803727865219116,1.0,-0.0008190905791707337
0,-0.006613196339458227,0.0779405672065022,-0.15906294624070433,-0.01402318524800074,-0.04839103680150054,0.2060159036111024,0.03578452797290393,0.0007159849085387151,-0.08028227718181319,0.0,0.18841816057949368,-0.029431991279125214,-0.006613196339458227,-1.413845181465149,-0.09352238476276398,-0.12100587785243988,0.0,0.05829792842268944,0.17152035236358643,0.0,0.0,-0.2206927239894867,0.0009901541052386165,3.6365973949432373,0.11291849613189697,3.339200973510742,-0.33288372633978724,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-1.413845181465149,protenix_contact,0.5262635350227356,,,,,,,,0,2.7846856117248535,2.6202473640441895,-0.16443824768066406,0,0.5262635350227356,1.0,-0.006613196339458227
1,0.04808773100376129,0.0779405672065022,-0.15906294624070433,-0.01402318524800074,-0.04839103680150054,0.2060159036111024,0.03578452797290393,0.0007159849085387151,-0.08028227718181319,0.0,0.18841816057949368,-0.026753241196274757,-0.0007464024820365012,-4.799422740936279,-0.008476734161376953,0.04808773100376129,0.0,0.055533990263938904,0.1952553391456604,0.0,0.0,-0.2206927239894867,0.0009901541052386165,3.6365973949432373,0.11291849613189697,3.339200973510742,-0.9574622775544412,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.2,-4.799422740936279,protenix_contact,0.9765130281448364,,,,,,,,0,2.7846856117248535,2.389478921890259,-0.3952066898345947,0,0.9765130281448364,1.0,0.04808773100376129
1,0.04808773100376129,0.0779405672065022,-0.15906294624070433,-0.01402318524800074,-0.04839103680150054,0.2060159036111024,0.03578452797290393,0.0007159849085387151,-0.08028227718181319,0.0,0.18841816057949368,-0.026753241196274757,-0.0007464024820365012,-4.799422740936279,-0.008476734161376953,0.04808773100376129,0.0,0.055533990263938904,0.1952553391456604,0.0,0.0,-0.2206927239894867,0.0009901541052386165,3.6365973949432373,0.11291849613189697,3.339200973510742,-0.9574622775544412,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.2,-4.799422740936279,protenix_contact,0.9765130281448364,-4.799422740936279,-2.8796536445617673,0.0,0.768846333026886,0.0,True,0.9999999999997916,0,2.7846856117248535,2.389478921890259,-0.3952066898345947,0,0.9765130281448364,1.0,0.04808773100376129
2,0.04707896336913109,0.04704041945009986,-0.06176839927601327,0.005867337124345149,-0.030581398860797377,0.26309012310728974,-0.011776626053771624,0.048265013646981735,-0.01807739169477828,0.0,0.2176889423938673,-0.11792656779289246,0.0026957965455949306,-13.745954513549805,-0.06235899031162262,0.04707896336913109,0.0,0.090879887342453,0.2687028646469116,0.0,0.0,-0.20890510082244873,0.006739187519997358,3.7445244789123535,0.11875367164611816,3.3162975311279297,-2.775293062347919,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.4,-13.745954513549805,protenix_contact,1.496310830116272,,,,,,,,1,2.693592071533203,2.0145654678344727,-0.6790266036987305,0,1.496310830116272,1.0,0.04707896336913109
0,-0.015828272327780724,0.04704041945009986,-0.06176839927601327,0.005867337124345149,-0.030581398860797377,0.26309012310728974,-0.011776626053771624,0.048265013646981735,-0.01807739169477828,0.0,0.2176889423938673,-0.0904587060213089,-0.015828272327780724,-3.1739320755004883,-0.11366567760705948,-0.1447726935148239,0.0,0.08144479244947433,0.20501574873924255,0.0,0.0,-0.20890510082244873,0.006739187519997358,3.7445244789123535,0.11875367164611816,3.3162975311279297,-0.7077314849942923,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-3.1739320755004883,protenix_contact,0.5430631041526794,,,,,,,,1,2.693592071533203,2.5226669311523438,-0.17092514038085938,0,0.5430631041526794,1.0,-0.015828272327780724
0,-0.015828272327780724,0.04704041945009986,-0.06176839927601327,0.005867337124345149,-0.030581398860797377,0.26309012310728974,-0.011776626053771624,0.048265013646981735,-0.01807739169477828,0.0,0.2176889423938673,-0.0904587060213089,-0.015828272327780724,-3.1739320755004883,-0.11366567760705948,-0.1447726935148239,0.0,0.08144479244947433,0.20501574873924255,0.0,0.0,-0.20890510082244873,0.006739187519997358,3.7445244789123535,0.11875367164611816,3.3162975311279297,-0.7077314849942923,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.0,-3.1739320755004883,protenix_contact,0.5430631041526794,,,,,,,,1,2.693592071533203,2.5226669311523438,-0.17092514038085938,0,0.5430631041526794,1.0,-0.015828272327780724
2,0.04707896336913109,0.04704041945009986,-0.06176839927601327,0.005867337124345149,-0.030581398860797377,0.26309012310728974,-0.011776626053771624,0.048265013646981735,-0.01807739169477828,0.0,0.2176889423938673,-0.11792656779289246,0.0026957965455949306,-13.745954513549805,-0.06235899031162262,0.04707896336913109,0.0,0.090879887342453,0.2687028646469116,0.0,0.0,-0.20890510082244873,0.006739187519997358,3.7445244789123535,0.11875367164611816,3.3162975311279297,-2.775293062347919,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.4,-13.745954513549805,protenix_contact,1.496310830116272,-13.804389953613281,-8.282633972167968,0.0,1.3173444271087646,0.0,True,0.9957668944255536,1,2.693592071533203,2.0145654678344727,-0.6790266036987305,0,1.496310830116272,1.0,0.04707896336913109
0,-0.0062228236347436905,0.04113307172464484,-0.03868050796324501,-0.026432748404055344,-0.027839239434478323,-0.05770580036511432,0.13172902514537152,-0.09483569974580446,-0.0351768215446551,0.0,0.20578781978210142,-0.06637106835842133,-0.0062228236347436905,-0.7988646030426025,-0.03366586193442345,-0.0732923150062561,0.0,0.06486289203166962,0.18065732717514038,0.0,0.0,-0.185538187623024,0.010491056367754936,4.127840042114258,0.09057851880788803,3.35139536857605,-0.19568333439528943,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-0.7988646030426025,protenix_contact,0.46361175179481506,,,,,,,,2,2.749011516571045,2.628174304962158,-0.12083721160888672,0,0.46361175179481506,1.0,-0.0062228236347436905
0,-0.022838877514004707,0.04113307172464484,-0.03868050796324501,-0.026432748404055344,-0.027839239434478323,-0.05770580036511432,0.13172902514537152,-0.09483569974580446,-0.0351768215446551,0.0,0.20578781978210142,-0.12997329235076904,-0.022838877514004707,-0.4080553650856018,-0.09813395887613297,-0.13879558444023132,0.0,0.06460949778556824,0.1799667775630951,0.0,0.0,-0.185538187623024,0.010491056367754936,4.127840042114258,0.09057851880788803,3.35139536857605,-0.15955941565334797,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-0.4080553650856018,protenix_contact,0.5226736068725586,,,,,,,,2,2.749011516571045,2.616722583770752,-0.13228893280029297,0,0.5226736068725586,1.0,-0.022838877514004707
