aux_harm_count,aux_worst_directional_derivative,cos_boltz2_distogram_contact__charge_target,cos_boltz2_distogram_contact__solubility_limit,cos_boltz2_distogram_contact__trigram_naturalness,cos_charge_target__trigram_naturalness,cos_protenix_contact__boltz2_distogram_contact,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_boltz2_distogram_contact,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_boltz2_distogram_contact,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.00015572883421555161,-0.00540171863125605,-0.27473141347438085,-0.027595535491166178,-0.04839104182562747,0.3644812063930164,-0.0006753973857149357,0.018480217063931104,0.013128847134473832,0.0,0.18841816057949368,-0.1138455718755722,-0.00015572883421555161,-4.830554008483887,-0.04604179784655571,-0.05395360663533211,0.0,0.0839526578783989,0.21667253971099854,0.0,0.0,-0.16340118646621704,0.0009901543380692601,4.048002243041992,0.11291849613189697,3.339200496673584,-1.0089101427351124,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-4.830554008483887,protenix_contact,0.9595282673835754,,,,,,,,0,2.7846856117248535,2.352325201034546,-0.4323604106903076,0,0.9595282673835754,1.0,-0.00015572883421555161
0,-0.0058109452947974205,-0.00540171863125605,-0.27473141347438085,-0.027595535491166178,-0.04839104182562747,0.3644812063930164,-0.0006753973857149357,0.018480217063931104,0.013128847134473832,0.0,0.18841816057949368,-0.08077472448348999,-0.0058109452947974205,-1.8578437566757202,-0.08582043647766113,-0.1332528293132782,0.0,0.0689426138997078,0.18110397458076477,0.0,0.0,-0.16340118646621704,0.0009901543380692601,4.048002243041992,0.11291849613189697,3.339200496673584,-0.43270053844898937,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-1.8578437566757202,protenix_contact,0.5332774519920349,,,,,,,,0,2.7846856117248535,2.6159040927886963,-0.16878151893615723,0,0.5332774519920349,1.0,-0.0058109452947974205
0,-0.00015572883421555161,-0.00540171863125605,-0.27473141347438085,-0.027595535491166178,-0.04839104182562747,0.3644812063930164,-0.0006753973857149357,0.018480217063931104,0.013128847134473832,0.0,0.18841816057949368,-0.1138455718755722,-0.00015572883421555161,-4.830554008483887,-0.04604179784655571,-0.05395360663533211,0.0,0.0839526578783989,0.21667253971099854,0.0,0.0,-0.16340118646621704,0.0009901543380692601,4.048002243041992,0.11291849613189697,3.339200496673584,-1.0089101427351124,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.0,-4.830554008483887,protenix_contact,0.9595282673835754,,,,,,,,0,2.7846856117248535,2.352325201034546,-0.4323604106903076,0,0.9595282673835754,1.0,-0.00015572883421555161
1,0.0004022568464279175,-0.00540171863125605,-0.27473141347438085,-0.027595535491166178,-0.04839104182562747,0.3644812063930164,-0.0006753973857149357,0.018480217063931104,0.013128847134473832,0.0,0.18841816057949368,-0.10463827848434448,-0.00012617534957826138,-4.814878463745117,-0.02041056379675865,0.0004022568464279175,0.0,0.08431260287761688,0.21548527479171753,0.0,0.0,-0.16340118646621704,0.0009901543380692601,4.048002243041992,0.11291849613189697,3.339200496673584,-0.9879302449058741,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.2,-4.814878463745117,protenix_contact,0.9440630674362183,-4.830554008483887,-2.898332405090332,0.0,0.7372151613235474,0.0,True,0.9967549178184871,0,2.7846856117248535,2.3680570125579834,-0.4166285991668701,0,0.9440630674362183,1.0,0.0004022568464279175
0,-0.002868006471544504,0.006696814239824809,-0.10253547537218655,-0.0498495152666158,-0.030581398860797377,0.1987663890462822,-0.016186604205201113,0.05791142106395971,0.11660559330940674,0.0,0.2176889423938673,-0.17304086685180664,-0.002868006471544504,-5.568588733673096,-0.06356653571128845,-0.11486732959747314,0.0,0.08885867893695831,0.23909740149974823,0.0,0.0,-0.14683862030506134,0.006739187519997358,4.0424957275390625,0.11875364184379578,3.316297769546509,-1.1845862944610417,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-5.568588733673096,protenix_contact,1.015471339225769,,,,,,,,1,2.693592071533203,2.256906747817993,-0.43668532371520996,0,1.015471339225769,1.0,-0.002868006471544504
0,-0.01576465554535389,0.006696814239824809,-0.10253547537218655,-0.0498495152666158,-0.030581398860797377,0.1987663890462822,-0.016186604205201113,0.05791142106395971,0.11660559330940674,0.0,0.2176889423938673,-0.1566738784313202,-0.01576465554535389,-1.9598820209503174,-0.10774433612823486,-0.1551268845796585,0.0,0.08734442293643951,0.20898878574371338,0.0,0.0,-0.14683862030506134,0.006739187519997358,4.0424957275390625,0.11875364184379578,3.316297769546509,-0.47903835512697696,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-1.9598820209503174,protenix_contact,0.5358264446258545,,,,,,,,1,2.693592071533203,2.5210530757904053,-0.17253899574279785,0,0.5358264446258545,1.0,-0.01576465554535389
0,-0.002868006471544504,0.006696814239824809,-0.10253547537218655,-0.0498495152666158,-0.030581398860797377,0.1987663890462822,-0.016186604205201113,0.05791142106395971,0.11660559330940674,0.0,0.2176889423938673,-0.17304086685180664,-0.002868006471544504,-5.568588733673096,-0.06356653571128845,-0.11486732959747314,0.0,0.08885867893695831,0.23909740149974823,0.0,0.0,-0.14683862030506134,0.006739187519997358,4.0424957275390625,0.11875364184379578,3.316297769546509,-1.1845862944610417,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.0,-5.568588733673096,protenix_contact,1.015471339225769,,,,,,,,1,2.693592071533203,2.256906747817993,-0.43668532371520996,0,1.015471339225769,1.0,-0.002868006471544504
0,-0.0018955133855342865,0.006696814239824809,-0.10253547537218655,-0.0498495152666158,-0.030581398860797377,0.1987663890462822,-0.016186604205201113,0.05791142106395971,0.11660559330940674,0.0,0.2176889423938673,-0.10693599283695221,-0.0018955133855342865,-5.516636848449707,-0.035914015024900436,-0.06207301840186119,0.0,0.0922342985868454,0.2370246946811676,0.0,0.0,-0.14683862030506134,0.006739187519997358,4.0424957275390625,0.11875364184379578,3.316297769546509,-1.144691077619791,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.0,-5.516636848449707,protenix_contact,0.9842277765274048,-5.568588733673096,-3.3411532402038575,0.0,0.8126276135444641,0.0,True,0.9906705472950035,1,2.693592071533203,2.2709436416625977,-0.42264842987060547,0,0.9842277765274048,1.0,-0.0018955133855342865
1,0.06623997539281845,0.06954498241491168,-0.26521595135941833,-0.04182227693952199,-0.027839239434478323,0.1874480133176844,0.08608307523350275,-0.34050974617309154,-0.11201347676146177,0.0,0.20578781978210142,-0.06578885018825531,-0.0067495787516236305,-2.5933032035827637,0.06623997539281845,-0.020108267664909363,0.0,0.06670400500297546,0.18582218885421753,0.0,0.0,-0.12056413292884827,0.010491056367754936,4.349616527557373,0.09057851880788803,3.35139536857605,-0.5239419849589467,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.2,-2.5933032035827637,protenix_contact,0.7277594804763794,,,,,,,,2,2.749011516571045,2.5606307983398438,-0.18838071823120117,0,0.7277594804763794,1.0,0.06623997539281845
0,-0.02244534343481064,0.06954498241491168,-0.26521595135941833,-0.04182227693952199,-0.027839239434478323,0.1874480133176844,0.08608307523350275,-0.34050974617309154,-0.11201347676146177,0.0,0.20578781978210142,-0.0853935182094574,-0.02244534343481064,-0.7340375185012817,-0.055466681718826294,-0.13312381505966187,0.0,0.0625566616654396,0.174545556306839,0.0,0.0,-0.12056413292884827,0.010491056367754936,4.349616527557373,0.09057851880788803,3.35139536857605,-0.2060933753848076,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-0.7340375185012817,protenix_contact,0.4996892809867859,,,,,,,,2,2.749011516571045,2.645183801651001,-0.10382771492004395,0,0.4996892809867859,1.0,-0.02244534343481064
