cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_id,method_max_aux_harms,method_min_primary_descent_ratio,oracle_harm_rate,seed,sequence_entropy,sequence_entropy_delta,step,step_norm,worst_oracle_directional_derivative
-0.048391032027998715,0.02969894969161959,0.0030786898161041976,-0.07914377643661764,0.0,0.1884183516812092,-0.0005026475992053747,-4.839960098266602,-0.046142444014549255,-0.01456261146813631,0.0009901541052386165,3.6315460205078125,0.11291849613189697,3.3392081260681152,-1.2252919503371231,naive_weighted,0.02,8,M3,1,0.0,0.0,0,2.7846856117248535,-0.39792537689208984,0,0.9828197360038757,-0.0005026475992053747
-0.05012102878130086,0.05942019612998292,0.04905896232421458,0.050412205097418505,0.0,0.16304485072220143,-0.0004845527873840183,-1.1220834255218506,-0.01716705411672592,-0.06393002718687057,0.0005512984353117645,3.053044319152832,0.06936031579971313,3.3234541416168213,-0.3009162649032078,naive_weighted,0.02,8,M3,1,0.0,0.0,0,2.3867602348327637,-0.029546022415161133,1,0.5200522541999817,-0.0004845527873840183
-0.057777755170212525,0.08408378238274486,-0.16863541086173664,-0.06484154166196796,0.0,0.17508470217298383,-0.0002818661741912365,-0.8844484090805054,0.002752284286543727,-0.03657287359237671,0.00017321750055998564,2.7307288646698,0.053106069564819336,3.2565231323242188,-0.2296377161401324,naive_weighted,0.02,8,M3,1,0.0,0.25,0,2.3572142124176025,-0.004889965057373047,2,0.47071054577827454,0.002752284286543727
-0.048391032027998715,0.02969894969161959,0.0030786898161041976,-0.07914377643661764,0.0,0.1884183516812092,-0.006205398589372635,-1.2215566635131836,-0.1154162660241127,-0.1310688853263855,0.0009901541052386165,3.6315460205078125,0.11291849613189697,3.3392081260681152,-0.3685618033632636,normalized_weighted,0.02,8,M4,1,0.0,0.0,0,2.7846856117248535,-0.13107824325561523,0,0.4791770279407501,-0.006205398589372635
0.1071622790957963,0.07937517062114821,-0.15039712128151145,-0.06140361415840995,0.0,0.16843600023417174,-0.01625683903694153,-1.3378584384918213,-0.03002980723977089,-0.11510322988033295,0.004507227335125208,3.5470244884490967,0.02263650670647621,3.204820156097412,-0.37481207866221666,normalized_weighted,0.02,8,M4,1,0.0,0.0,0,2.6536073684692383,-0.08185076713562012,1,0.4470409154891968,-0.01625683903694153
-0.05527162101910414,0.07900987313997399,-0.28387143324793,-0.10840298061699577,0.0,0.16948456519027472,-0.011240687221288681,-0.9028637409210205,-0.004696899559348822,-0.05626368895173073,0.0029093376360833645,2.9758222103118896,0.00506635382771492,3.0905368328094482,-0.24376625416334718,normalized_weighted,0.02,8,M4,1,0.0,0.0,0,2.571756601333618,-0.11379766464233398,2,0.3760102093219757,-0.004696899559348822
-0.048391032027998715,0.02969894969161959,0.0030786898161041976,-0.07914377643661764,0.0,0.1884183516812092,-0.0005026475992053747,-4.839960098266602,-0.046142444014549255,-0.01456261146813631,0.0009901541052386165,3.6315460205078125,0.11291849613189697,3.3392081260681152,-1.2252919503371231,contact_preserving_soft_cone,0.0,8,M7a,0,0.25,0.0,0,2.7846856117248535,-0.39792537689208984,0,0.9828197360038757,-0.0005026475992053747
-0.05012102878130086,0.05942019612998292,0.04905896232421458,0.050412205097418505,0.0,0.16304485072220143,-0.0004845527873840183,-1.1220834255218506,-0.01716705411672592,-0.06393002718687057,0.0005512984353117645,3.053044319152832,0.06936031579971313,3.3234541416168213,-0.3009162649032078,contact_preserving_soft_cone,0.0,8,M7a,0,0.25,0.0,0,2.3867602348327637,-0.029546022415161133,1,0.5200522541999817,-0.0004845527873840183
-0.057777755170212525,0.08408378238274486,-0.16863541086173664,-0.06484154166196796,0.0,0.17508470217298383,-0.0025185472331941128,-0.36417514085769653,-0.05062536150217056,-0.07861624658107758,0.00017321750055998564,2.7307288646698,0.053106069564819336,3.2565231323242188,-0.1239838240435347,contact_preserving_soft_cone,0.0,8,M7a,0,0.25,0.0,0,2.3572142124176025,-0.027863025665283203,2,0.4077288508415222,-0.0025185472331941128
-0.048391032027998715,0.02969894969161959,0.0030786898161041976,-0.07914377643661764,0.0,0.1884183516812092,-0.00043118197936564684,-4.882298469543457,-0.009125962853431702,0.046961355954408646,0.0009901541052386165,3.6315460205078125,0.11291849613189697,3.3392081260681152,-1.2112235646054614,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,0.25,0,2.7846856117248535,-0.39417076110839844,0,0.9812583327293396,0.046961355954408646
