best_candidate_bt_iptm,best_candidate_bt_pae,best_candidate_contact,best_candidate_plddt,cem_init_method,cem_init_method_id,cem_ranking_metric,cem_round,cem_source_mix,cem_update_rate,elite_count,method,method_id,round_end_entropy,round_start_entropy,samples_per_round,seed
0.41542401909828186,11.9674072265625,2.9054458141326904,0.5972285866737366,naive_weighted,M3,bt_pae,0,0.0,0.6,2,warm_cem_bt_pae_from_M3,WCEMp_M3,1.6638683080673218,2.401909589767456,8,0
0.23726697266101837,13.325069427490234,3.378018856048584,0.5340075492858887,naive_weighted,M3,bt_pae,1,0.0,0.6,2,warm_cem_bt_pae_from_M3,WCEMp_M3,1.0839738845825195,1.6638683080673218,8,0
0.27448004484176636,12.39249038696289,3.3349063396453857,0.5718119144439697,naive_weighted,M3,bt_pae,2,0.0,0.6,2,warm_cem_bt_pae_from_M3,WCEMp_M3,0.732109010219574,1.0839738845825195,8,0
0.5038671493530273,11.748390197753906,2.94492244720459,0.6000102758407593,contact_preserving_soft_cone,M7c,bt_pae,0,0.0,0.6,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,1.5444049835205078,2.27921199798584,8,0
0.5349533557891846,8.171798706054688,2.467129707336426,0.7294580936431885,contact_preserving_soft_cone,M7c,bt_pae,1,0.0,0.6,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,0.990743100643158,1.5444049835205078,8,0
0.5339022874832153,8.213054656982422,2.467129707336426,0.7289561629295349,contact_preserving_soft_cone,M7c,bt_pae,2,0.0,0.6,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,0.6752451658248901,0.990743100643158,8,0
0.4858187735080719,11.034505844116211,2.5498828887939453,0.6786202788352966,contact_qp_grid,M8a,bt_pae,0,0.0,0.6,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,1.5974739789962769,2.2877087593078613,8,0
0.5152776837348938,10.137211799621582,2.6641407012939453,0.6690908670425415,contact_qp_grid,M8a,bt_pae,1,0.0,0.6,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,1.0467133522033691,1.5974739789962769,8,0
0.5489984750747681,10.339923858642578,2.731920003890991,0.6671609282493591,contact_qp_grid,M8a,bt_pae,2,0.0,0.6,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,0.7032374143600464,1.0467133522033691,8,0
0.41542401909828186,11.9674072265625,2.9054458141326904,0.5972285866737366,naive_weighted,M3,contact,0,0.0,0.6,2,warm_cem_contact_from_M3,WCEMc_M3,1.6914255619049072,2.401909589767456,8,0
0.4151318371295929,13.881263732910156,3.0058445930480957,0.5533502697944641,naive_weighted,M3,contact,1,0.0,0.6,2,warm_cem_contact_from_M3,WCEMc_M3,1.121658205986023,1.6914255619049072,8,0
0.4670352339744568,12.472620964050293,2.7167747020721436,0.5700787901878357,naive_weighted,M3,contact,2,0.0,0.6,2,warm_cem_contact_from_M3,WCEMc_M3,0.774153470993042,1.121658205986023,8,0
0.5038671493530273,11.748390197753906,2.94492244720459,0.6000102758407593,contact_preserving_soft_cone,M7c,contact,0,0.0,0.6,2,warm_cem_contact_from_M7c,WCEMc_M7c,1.5444049835205078,2.27921199798584,8,0
