best_candidate_bt_iptm,best_candidate_bt_pae,best_candidate_contact,best_candidate_plddt,cem_ranking_metric,cem_round,elite_count,method,method_id,round_end_entropy,round_start_entropy,samples_per_round,seed
0.19490215182304382,16.262659072875977,3.0794458389282227,0.5497793555259705,bt_pae,0,2,cem_bt_pae,CEMp,1.5536909103393555,2.7887206077575684,8,0
0.15200240910053253,15.600631713867188,3.4751861095428467,0.5464803576469421,bt_pae,1,2,cem_bt_pae,CEMp,0.836350679397583,1.5536909103393555,8,0
0.14184242486953735,15.384697914123535,3.5177524089813232,0.5642979145050049,bt_pae,2,2,cem_bt_pae,CEMp,0.528227686882019,0.836350679397583,8,0
0.19490215182304382,16.262659072875977,3.0794458389282227,0.5497793555259705,contact,0,2,cem_contact,CEMc,1.5687196254730225,2.7887206077575684,8,0
0.12718819081783295,18.593196868896484,3.2624785900115967,0.4892122745513916,contact,1,2,cem_contact,CEMc,0.8595683574676514,1.5687196254730225,8,0
0.173663929104805,18.61541175842285,3.1360156536102295,0.5165849924087524,contact,2,2,cem_contact,CEMc,0.5431479215621948,0.8595683574676514,8,0
0.1273176372051239,16.302852630615234,3.3327977657318115,0.4521864652633667,bt_pae,0,2,cem_bt_pae,CEMp,1.4568895101547241,2.6708743572235107,8,1
0.2539677917957306,14.7899751663208,2.9568324089050293,0.5110354423522949,bt_pae,1,2,cem_bt_pae,CEMp,0.7952591180801392,1.4568895101547241,8,1
0.22455275058746338,14.614715576171875,2.8985414505004883,0.507218599319458,bt_pae,2,2,cem_bt_pae,CEMp,0.5137606263160706,0.7952591180801392,8,1
0.11308585107326508,17.055444717407227,3.1910693645477295,0.44593414664268494,contact,0,2,cem_contact,CEMc,1.460102915763855,2.6708743572235107,8,1
0.22739240527153015,15.441264152526855,3.0559091567993164,0.5023640990257263,contact,1,2,cem_contact,CEMc,0.8089221715927124,1.460102915763855,8,1
0.22255906462669373,15.542397499084473,3.0559091567993164,0.4984135031700134,contact,2,2,cem_contact,CEMc,0.5461193919181824,0.8089221715927124,8,1
