cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_id,method_max_aux_harms,method_min_primary_descent_ratio,oracle_harm_rate,seed,sequence_entropy,sequence_entropy_delta,step,step_norm,worst_oracle_directional_derivative
-0.04839100794683212,0.0288626548668375,0.003997035686144074,-0.07939909189350562,0.0,0.18841828844608383,-0.0005101055139675736,-4.134507179260254,-0.046047765761613846,-0.01859331876039505,0.0009901541052386165,3.6295242309570312,0.11291849613189697,3.3392081260681152,-1.0499145923240576,naive_weighted,0.02,8,M3,1,0.0,0.0,0,2.7846856117248535,-0.35974788665771484,0,0.9149067401885986,-0.0005101055139675736
-0.05092772827250675,0.031660450893182986,0.023438286655032173,0.05662275986875797,0.0,0.1655977840932342,-0.00013884234067518264,-1.371523380279541,-0.010588126257061958,-0.06327676773071289,0.0005457473453134298,3.053643226623535,0.06944254040718079,3.3200323581695557,-0.36138177915199776,naive_weighted,0.02,8,M3,1,0.0,0.0,0,2.4249377250671387,-0.06563568115234375,1,0.5611051321029663,-0.00013884234067518264
-0.05498007620230161,0.11422128338865474,-0.0314883403270032,-0.06195534341243871,0.0,0.1804319358515481,-0.0007976823835633695,-0.8889012336730957,-0.00550287589430809,-0.03807564452290535,0.0004157355579081923,2.7202959060668945,0.05918816849589348,3.2513949871063232,-0.23331935911846813,naive_weighted,0.02,8,M3,1,0.0,0.0,0,2.359302043914795,0.0026929378509521484,2,0.47090771794319153,-0.0007976823835633695
-0.04839100794683212,0.0288626548668375,0.003997035686144074,-0.07939909189350562,0.0,0.18841828844608383,-0.0005101055139675736,-4.134507179260254,-0.046047765761613846,-0.01859331876039505,0.0009901541052386165,3.6295242309570312,0.11291849613189697,3.3392081260681152,-1.0499145923240576,contact_preserving_soft_cone,0.0,8,M7a,0,0.25,0.0,0,2.7846856117248535,-0.35974788665771484,0,0.9149067401885986,-0.0005101055139675736
-0.05092772827250675,0.031660450893182986,0.023438286655032173,0.05662275986875797,0.0,0.1655977840932342,-0.00013884234067518264,-1.371523380279541,-0.010588126257061958,-0.06327676773071289,0.0005457473453134298,3.053643226623535,0.06944254040718079,3.3200323581695557,-0.36138177915199776,contact_preserving_soft_cone,0.0,8,M7a,0,0.25,0.0,0,2.4249377250671387,-0.06563568115234375,1,0.5611051321029663,-0.00013884234067518264
-0.05498007620230161,0.11422128338865474,-0.0314883403270032,-0.06195534341243871,0.0,0.1804319358515481,-0.0007976823835633695,-0.8889012336730957,-0.00550287589430809,-0.03807564452290535,0.0004157355579081923,2.7202959060668945,0.05918816849589348,3.2513949871063232,-0.23331935911846813,contact_preserving_soft_cone,0.0,8,M7a,0,0.25,0.0,0,2.359302043914795,0.0026929378509521484,2,0.47090771794319153,-0.0007976823835633695
-0.04839100794683212,0.0288626548668375,0.003997035686144074,-0.07939909189350562,0.0,0.18841828844608383,-0.00045166409108787775,-4.171006679534912,-0.008174306713044643,0.044807419180870056,0.0009901541052386165,3.6295242309570312,0.11291849613189697,3.3392081260681152,-1.0337063077895436,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,0.25,0,2.7846856117248535,-0.3555769920349121,0,0.9112593531608582,0.044807419180870056
-0.042321143630548355,0.015148149799734018,0.12734799276695793,0.021273716307051382,0.0,0.1640653497380983,-0.0005451986216939986,-2.706289291381836,-0.04940449446439743,-0.0794842541217804,0.0005899968091398478,3.0934741497039795,0.10480492562055588,3.3819587230682373,-0.7089308096474269,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,0.0,0,2.4291086196899414,-0.12169599533081055,1,0.7897506356239319,-0.0005451986216939986
-0.06307151625119743,-0.03828288300486336,0.09756027132049588,0.050145817931150374,0.0,0.18292776706432243,0.000899840029887855,-12.292497634887695,-0.000515153631567955,-0.011440579779446125,0.00017074872448574752,2.756397247314453,0.059095099568367004,3.2927205562591553,-3.0758883820672054,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,0.25,0,2.307412624359131,-0.29918432235717773,2,1.532425045967102,0.000899840029887855
-0.03058132189602512,-0.013047857478160148,0.04598270677929245,-0.01860277728397119,0.0,0.21768897981714955,0.0029317184817045927,-14.279403686523438,-0.06374281644821167,0.05052253603935242,0.006739187519997358,3.733048915863037,0.11875367164611816,3.3163044452667236,-3.572423062112648,naive_weighted,0.02,8,M3,1,0.0,0.5,1,2.693592071533203,-0.6895561218261719,0,1.516740083694458,0.05052253603935242
