best_candidate_bt_iptm,best_candidate_bt_pae,best_candidate_contact,best_candidate_plddt,cem_init_method,cem_init_method_id,cem_ranking_metric,cem_round,elite_count,method,method_id,round_end_entropy,round_start_entropy,samples_per_round,seed
0.2154759019613266,15.040943145751953,3.3211135864257812,0.49410903453826904,naive_weighted,M3,bt_pae,0,2,warm_cem_bt_pae_from_M3,WCEMp_M3,1.645628809928894,2.3892099857330322,8,0
0.2923646867275238,12.797249794006348,2.8477418422698975,0.5514950156211853,naive_weighted,M3,bt_pae,1,2,warm_cem_bt_pae_from_M3,WCEMp_M3,1.0568382740020752,1.645628809928894,8,0
0.3313196301460266,11.993541717529297,2.9092490673065186,0.5643075704574585,naive_weighted,M3,bt_pae,2,2,warm_cem_bt_pae_from_M3,WCEMp_M3,0.7166293859481812,1.0568382740020752,8,0
0.22561825811862946,15.28270435333252,3.166280508041382,0.4731828570365906,contact_preserving_soft_cone,M7c,bt_pae,0,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,1.608633041381836,2.309062957763672,8,0
0.40486735105514526,10.980408668518066,2.708629608154297,0.6299644112586975,contact_preserving_soft_cone,M7c,bt_pae,1,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,1.0496346950531006,1.608633041381836,8,0
0.4848087728023529,8.915983200073242,2.682612180709839,0.676360547542572,contact_preserving_soft_cone,M7c,bt_pae,2,2,warm_cem_bt_pae_from_M7c,WCEMp_M7c,0.7124037742614746,1.0496346950531006,8,0
0.3666892349720001,12.091381072998047,2.643636703491211,0.5826207399368286,contact_qp_grid,M8a,bt_pae,0,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,1.6250704526901245,2.336437702178955,8,0
0.3127211332321167,12.442426681518555,2.8256072998046875,0.5944775342941284,contact_qp_grid,M8a,bt_pae,1,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,1.0797127485275269,1.6250704526901245,8,0
0.38548457622528076,13.591352462768555,2.984396457672119,0.5301177501678467,contact_qp_grid,M8a,bt_pae,2,2,warm_cem_bt_pae_from_M8a,WCEMp_M8a,0.7692030668258667,1.0797127485275269,8,0
0.1734423041343689,16.184186935424805,3.0824334621429443,0.4806132912635803,naive_weighted,M3,contact,0,2,warm_cem_contact_from_M3,WCEMc_M3,1.6494905948638916,2.3892099857330322,8,0
0.4360484480857849,10.623664855957031,2.494870662689209,0.6378535032272339,naive_weighted,M3,contact,1,2,warm_cem_contact_from_M3,WCEMc_M3,1.078688383102417,1.6494905948638916,8,0
