aux_harm_count,aux_worst_directional_derivative,cos_boltz2_distogram_contact__charge_target,cos_boltz2_distogram_contact__solubility_limit,cos_boltz2_distogram_contact__trigram_naturalness,cos_charge_target__trigram_naturalness,cos_protenix_contact__boltz2_distogram_contact,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_boltz2_distogram_contact,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_boltz2_distogram_contact,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.0007047321414574981,0.07116705717851728,-0.1452157860501214,-0.004262918738615054,-0.048391032787964715,0.21133329101681025,0.03342058128165548,0.009783510572246266,-0.0770318371398172,0.0,0.18841816057949368,-0.02574334852397442,-0.0007047321414574981,-4.006153583526611,-0.0454227551817894,-0.01932026445865631,0.0,0.05210992321372032,0.18800567090511322,0.0,0.0,-0.2207372933626175,0.0009901541052386165,3.6300816535949707,0.11291849613189697,3.339200496673584,-0.8194689367664978,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-4.006153583526611,protenix_contact,0.9048527479171753,,,,,,,,0,2.7846856117248535,2.4278604984283447,-0.3568251132965088,0,0.9048527479171753,1.0,-0.0007047321414574981
0,-0.006537490524351597,0.07116705717851728,-0.1452157860501214,-0.004262918738615054,-0.048391032787964715,0.21133329101681025,0.03342058128165548,0.009783510572246266,-0.0770318371398172,0.0,0.18841816057949368,-0.030119899660348892,-0.006537490524351597,-1.2774336338043213,-0.09560622274875641,-0.12206237018108368,0.0,0.05853171646595001,0.1720176339149475,0.0,0.0,-0.2207372933626175,0.0009901541052386165,3.6300816535949707,0.11291849613189697,3.339200496673584,-0.3063519233837724,normalized_weighted,0.02,8,0.0,0,0.0,M4,1,0.0,1.0,0.0,-1.2774336338043213,protenix_contact,0.5277912020683289,,,,,,,,0,2.7846856117248535,2.6185126304626465,-0.16617298126220703,0,0.5277912020683289,1.0,-0.006537490524351597
1,0.04303278028964996,0.07116705717851728,-0.1452157860501214,-0.004262918738615054,-0.048391032787964715,0.21133329101681025,0.03342058128165548,0.009783510572246266,-0.0770318371398172,0.0,0.18841816057949368,-0.025750741362571716,-0.0006403597071766853,-4.028153896331787,-0.009545238688588142,0.04303278028964996,0.0,0.051490187644958496,0.18797282874584198,0.0,0.0,-0.2207372933626175,0.0009901541052386165,3.6300816535949707,0.11291849613189697,3.339200496673584,-0.8042114911600947,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.2,-4.028153896331787,protenix_contact,0.8975670337677002,,,,,,,,0,2.7846856117248535,2.4334216117858887,-0.35126399993896484,0,0.8975670337677002,1.0,0.04303278028964996
1,0.04303278028964996,0.07116705717851728,-0.1452157860501214,-0.004262918738615054,-0.048391032787964715,0.21133329101681025,0.03342058128165548,0.009783510572246266,-0.0770318371398172,0.0,0.18841816057949368,-0.025750741362571716,-0.0006403597071766853,-4.028153896331787,-0.009545238688588142,0.04303278028964996,0.0,0.051490187644958496,0.18797282874584198,0.0,0.0,-0.2207372933626175,0.0009901541052386165,3.6300816535949707,0.11291849613189697,3.339200496673584,-0.8042114911600947,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.2,-4.028153896331787,protenix_contact,0.8975670337677002,-4.028153896331787,-2.416892337799072,0.0,0.6861746311187744,0.0,True,0.9999999999997518,0,2.7846856117248535,2.4334216117858887,-0.35126399993896484,0,0.8975670337677002,1.0,0.04303278028964996
