cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,projected_step_norm,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
-0.04839100794683212,0.0345798405100285,0.0012336201035746998,-0.07823741210981242,0.0,0.18841828844608383,-0.0007167456205934286,-4.613803386688232,-0.045553624629974365,-0.01588844507932663,0.0009901541052386165,3.6356217861175537,0.11291849613189697,3.3392081260681152,-1.1689905505045317,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,0.964424192905426,0,2.7846856117248535,2.3960869312286377,-0.3885986804962158,0,0.964424192905426,1.0,-0.0007167456205934286
-0.0532531347902797,0.05686080544034845,-0.030716425391241507,0.056807772226669696,0.0,0.16445733631798054,-0.00026439549401402473,-1.2725313901901245,-0.005826613865792751,-0.06238333508372307,0.00040311634074896574,3.052640914916992,0.0698724165558815,3.3243484497070312,-0.3352514336584136,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,0.5478801131248474,0,2.3960869312286377,2.3626065254211426,-0.03348040580749512,1,0.5478801131248474,1.0,-0.00026439549401402473
-0.05776144020888963,0.0567774630293705,-0.10602722520216643,-0.06155750314088706,0.0,0.17266485956436942,3.123101487290114e-05,-0.6327595710754395,-0.009203337132930756,-0.037899330258369446,0.00018207385437563062,2.63222074508667,0.0641428530216217,3.2591450214385986,-0.1699577518629667,naive_weighted,0.02,8,M3,1,0.0,1.0,0.25,0.4014112651348114,0,2.3626065254211426,2.3453760147094727,-0.017230510711669922,2,0.4014112651348114,1.0,3.123101487290114e-05
-0.04839100794683212,0.0345798405100285,0.0012336201035746998,-0.07823741210981242,0.0,0.18841828844608383,-0.0006532290717586875,-4.656793117523193,-0.008862141519784927,0.04596640169620514,0.0009901541052386165,3.6356217861175537,0.11291849613189697,3.3392081260681152,-1.155085521604633,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.25,0.9630458950996399,0,2.7846856117248535,2.3976221084594727,-0.38706350326538086,0,0.9630458950996399,1.0,0.04596640169620514
-0.044715628051543846,0.06165414783658107,0.12943515806595876,0.09411869761947307,0.0,0.16259919438888568,-0.001429421128705144,-2.8313522338867188,-0.05526859313249588,-0.10229574143886566,0.0004446625825949013,3.1201071739196777,0.10412811487913132,3.384721279144287,-0.7475864973966964,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,0.7939953207969666,0,2.3976221084594727,2.2517921924591064,-0.1458299160003662,1,0.7939953207969666,1.0,-0.001429421128705144
0.06958270563362735,0.008023390278573078,-0.04525729452892888,0.033386389090316236,0.0,0.17203060231123746,-0.00021007060422562063,-0.738996684551239,-0.006321984808892012,-0.05797872692346573,0.00016400303866248578,2.7363803386688232,0.053753502666950226,3.2707698345184326,-0.2008768667219556,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,0.4255070984363556,0,2.2517921924591064,2.2544591426849365,0.002666950225830078,2,0.4255070984363556,1.0,-0.00021007060422562063
-0.04839100794683212,0.0345798405100285,0.0012336201035746998,-0.07823741210981242,0.0,0.18841828844608383,-0.001134652178734541,-4.89285135269165,-0.00818546861410141,0.05053152143955231,0.0009901541052386165,3.6356217861175537,0.11291849613189697,3.3392081260681152,-1.2129099880112335,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.25,0.9630458950996399,0,2.7846856117248535,2.3125007152557373,-0.4721848964691162,0,1.0415173768997192,0.8333333333333334,0.05053152143955231
-0.04532962016542541,0.0538211504162565,0.06732842149235051,0.1053166259910429,0.0,0.15548165560710323,-0.0010118745267391205,-3.119722366333008,-0.04598035663366318,-0.08424684405326843,0.00018056115368381143,3.048478603363037,0.1047939658164978,3.388728618621826,-0.8127403603866696,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.0,0.8070236444473267,0,2.3125007152557373,1.9526357650756836,-0.3598649501800537,1,1.0132508277893066,0.6666666666666667,-0.0010118745267391205
0.05398845872475462,0.021003323010963297,0.12506627626699232,-0.033472490857990735,0.0,0.14099916617753785,0.0013423068448901176,-7.313586235046387,-0.018262522295117378,0.0003474429249763489,0.000586336012929678,3.305245876312256,0.06193830817937851,3.287932872772217,-1.8325397518929094,contact_preserving_entropy_annealed,0.08,10,M7d,1,0.6,0.5,0.5,1.1983774900436401,0,1.9526357650756836,1.3789156675338745,-0.5737200975418091,2,1.6779155731201172,0.5,0.0013423068448901176
-0.04839100794683212,0.0345798405100285,0.0012336201035746998,-0.07823741210981242,0.0,0.18841828844608383,-0.0014687849907204509,-5.032443046569824,-0.007744865491986275,0.05337332561612129,0.0009901541052386165,3.6356217861175537,0.11291849613189697,3.3392081260681152,-1.2470708428591024,contact_preserving_entropy_annealed,0.08,10,M7e,1,0.6,0.25,0.25,0.9630458950996399,0,2.7846856117248535,2.253561019897461,-0.5311245918273926,0,1.1066899299621582,0.75,0.05337332561612129
