aux_harm_count,aux_worst_directional_derivative,cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.0005749101983383298,-0.04839100794683212,0.029555976879668044,0.004111674863974748,-0.08151495573585499,0.0,0.18841828844608383,-0.0005749101983383298,-4.358409881591797,-0.0457388311624527,-0.015781300142407417,0.0,0.052398987114429474,0.19018034636974335,0.0,0.0,0.0009901541052386165,3.6287896633148193,0.11291849613189697,3.3392081260681152,-1.1051262307737488,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-4.358409881591797,protenix_contact,0.93719482421875,,,,,,,,0,2.7846856117248535,2.4131805896759033,-0.3715050220489502,0,0.93719482421875,1.0,-0.0005749101983383298
0,-0.00014760115300305188,-0.051391571403597784,0.029798447328253094,0.018144249953955242,0.06350875612274866,0.0,0.1645071592897222,-0.00014760115300305188,-1.4159858226776123,-0.01085699163377285,-0.06636549532413483,0.0,0.05261384695768356,0.19893239438533783,0.0,0.0,0.0004986959975212812,3.0476434230804443,0.06971117854118347,3.323132038116455,-0.37333897769713076,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-1.4159858226776123,protenix_contact,0.5701841115951538,,,,,,,,0,2.4131805896759033,2.349414825439453,-0.0637657642364502,1,0.5701841115951538,1.0,-0.00014760115300305188
0,-0.0006925902562215924,-0.05448250224699561,0.120339708740083,-0.021889130456650467,-0.06887888144658004,0.0,0.17781387325771947,-0.0006925902562215924,-0.720196008682251,-0.007172923535108566,-0.04110346734523773,0.0,0.050903525203466415,0.20102223753929138,0.0,0.0,0.0003620161733124405,2.7070910930633545,0.05920293182134628,3.250272035598755,-0.19229124745470472,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-0.720196008682251,protenix_contact,0.43055346608161926,,,,,,,,0,2.349414825439453,2.3618102073669434,0.012395381927490234,2,0.43055346608161926,1.0,-0.0006925902562215924
1,0.04664311185479164,-0.04839100794683212,0.029555976879668044,0.004111674863974748,-0.08151495573585499,0.0,0.18841828844608383,-0.0005226082867011428,-4.397909641265869,-0.008344946429133415,0.04664311185479164,0.0,0.05203749239444733,0.1907128393650055,0.0,0.0,0.0009901541052386165,3.6287896633148193,0.11291849613189697,3.3392081260681152,-1.090033521031728,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.25,-4.397909641265869,protenix_contact,0.9345952868461609,,,,,,,,0,2.7846856117248535,2.4164533615112305,-0.36823225021362305,0,0.9345952868461609,1.0,0.04664311185479164
0,-0.0006293319747783244,-0.04301457460469282,0.023677231028853777,0.09083798326617523,-0.005010409502612461,0.0,0.1629536795077492,-0.0006293319747783244,-2.5945510864257812,-0.043803002685308456,-0.07703924924135208,0.0,0.04952249675989151,0.20650921761989594,0.0,0.0,0.0005365044926293194,3.088334798812866,0.10463695973157883,3.3839855194091797,-0.679005667581805,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.0,-2.5945510864257812,protenix_contact,0.7743697166442871,,,,,,,,0,2.4164533615112305,2.312901496887207,-0.10355186462402344,1,0.7743697166442871,1.0,-0.0006293319747783244
1,0.0006161907222121954,-0.06428823180432384,-0.04975988229873377,0.06744641246622485,0.03971744880436478,0.0,0.18184816095840312,0.0006161907222121954,-3.19917368888855,-0.018909433856606483,-0.06736521422863007,0.0,0.05110303312540054,0.222022145986557,0.0,0.0,9.172782301902771e-05,2.642784833908081,0.06363692879676819,3.2988147735595703,-0.8212080365628935,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.25,-3.19917368888855,protenix_contact,0.8446940183639526,,,,,,,,0,2.312901496887207,2.230064868927002,-0.08283662796020508,2,0.8446940183639526,1.0,0.0006161907222121954
1,0.04664311185479164,-0.04839100794683212,0.029555976879668044,0.004111674863974748,-0.08151495573585499,0.0,0.18841828844608383,-0.0005226082867011428,-4.397909641265869,-0.008344946429133415,0.04664311185479164,0.0,0.05203749239444733,0.1907128393650055,0.0,0.0,0.0009901541052386165,3.6287896633148193,0.11291849613189697,3.3392081260681152,-1.090033521031728,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.25,-4.397909641265869,protenix_contact,0.9345952868461609,-4.397909641265869,-2.6387457847595215,0.0,0.7250070571899414,0.0,True,0.9999999999997726,0,2.7846856117248535,2.4164533615112305,-0.36823225021362305,0,0.9345952868461609,1.0,0.04664311185479164
0,-0.0006262289825826883,-0.04301457460469282,0.023677231028853777,0.09083798326617523,-0.005010409502612461,0.0,0.1629536795077492,-0.0006262289825826883,-2.577369213104248,-0.011472376994788647,-0.025451868772506714,0.0,0.0515185110270977,0.20741604268550873,0.0,0.0,0.0005365044926293194,3.088334798812866,0.10463695973157883,3.3839855194091797,-0.6537299219635315,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.0,-2.577369213104248,protenix_contact,0.7552240490913391,-2.5945510864257812,-1.5567306518554687,0.0,0.5581595301628113,0.0,True,0.9933777086092391,0,2.4164533615112305,2.312307834625244,-0.10414552688598633,1,0.7552240490913391,1.0,-0.0006262289825826883
1,0.0005902473349124193,-0.058331661366208105,-0.047387752338828186,0.10815810601669214,0.030127895519956607,0.0,0.17990990011439414,0.0005902473349124193,-3.4200897216796875,-0.018737617880105972,-0.024038422852754593,0.0,0.049000926315784454,0.21805886924266815,0.0,0.0,9.301517275162041e-05,2.6557369232177734,0.09331631660461426,3.355513572692871,-0.8655688787694089,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.25,-3.4200897216796875,protenix_contact,0.8609199523925781,-3.4414737224578857,-2.0648842334747313,0.0,0.6656359434127808,0.0,True,0.9937863826651799,0,2.312307834625244,2.2387874126434326,-0.07352042198181152,2,0.8609199523925781,1.0,0.0005902473349124193
2,0.05013246834278107,-0.03058132189602512,-0.011779191072172332,0.049757316615978466,-0.015808301568693388,0.0,0.21768897981714955,0.00274380249902606,-14.656041145324707,-0.0655946135520935,0.05013246834278107,0.0,0.09225079417228699,0.27202433347702026,0.0,0.0,0.006739187519997358,3.740117073059082,0.11875367164611816,3.3163044452667236,-3.6671898720087484,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.5,-14.656041145324707,protenix_contact,1.5318396091461182,,,,,,,,1,2.693592071533203,1.999145269393921,-0.6944468021392822,0,1.5318396091461182,1.0,0.05013246834278107
