aux_harm_count,aux_worst_directional_derivative,cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.0006730621680617332,-0.04839100794683212,0.032564438973015204,0.0010875319787420194,-0.07986579611788713,0.0,0.18841828844608383,-0.0006730621680617332,-4.468356132507324,-0.04591314494609833,-0.01696634851396084,0.0009901541052386165,3.6293373107910156,0.11291849613189697,3.3392081260681152,-1.1329771720338613,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,-4.468356132507324,protenix_contact,0.9498344659805298,,,,,,,,0,2.7846856117248535,2.4067673683166504,-0.3779182434082031,0,0.9498344659805298,1.0,-0.0006730621680617332
0,-0.00014422669482883066,-0.052848422615724915,0.037793843533674924,-0.038533998356562064,0.05167013003336078,0.0,0.16521161117698263,-0.00014422669482883066,-1.4890692234039307,-0.0025477856397628784,-0.06085750833153725,0.00043147115502506495,3.0492103099823,0.06955957412719727,3.3226261138916016,-0.3881546860175149,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,-1.4890692234039307,protenix_contact,0.5801681876182556,,,,,,,,0,2.4067673683166504,2.354875087738037,-0.05189228057861328,1,0.5801681876182556,1.0,-0.00014422669482883066
1,0.0004706967738457024,-0.05490049821242482,-0.018045963512322405,-0.02597495018906011,0.02415586856045045,0.0,0.17441997915408114,0.0004706967738457024,-1.3839757442474365,-0.007830762304365635,-0.053680241107940674,0.0002992966619785875,2.89261531829834,0.06703011691570282,3.2572996616363525,-0.3612540127214743,naive_weighted,0.02,8,M3,1,0.0,1.0,0.25,-1.3839757442474365,protenix_contact,0.5774781107902527,,,,,,,,0,2.354875087738037,2.3385767936706543,-0.016298294067382812,2,0.5774781107902527,1.0,0.0004706967738457024
1,0.04552552476525307,-0.04839100794683212,0.032564438973015204,0.0010875319787420194,-0.07986579611788713,0.0,0.18841828844608383,-0.0006173943402245641,-4.507759094238281,-0.00886174663901329,0.04552552476525307,0.0009901541052386165,3.6293373107910156,0.11291849613189697,3.3392081260681152,-1.1179281776130665,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.25,-4.507759094238281,protenix_contact,0.947376012802124,,,,,,,,0,2.7846856117248535,2.409292221069336,-0.3753933906555176,0,0.947376012802124,1.0,0.04552552476525307
0,-0.0010576695203781128,-0.04434937629635818,0.03890671338980698,0.16121225240224693,0.1027300989679246,0.0,0.16338452040612536,-0.0010576695203781128,-3.0670340061187744,-0.05687493458390236,-0.10283307731151581,0.00046900101006031036,3.107639789581299,0.10412855446338654,3.383572816848755,-0.8069499218836427,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,-3.0670340061187744,protenix_contact,0.8255801796913147,,,,,,,,0,2.409292221069336,2.253386974334717,-0.15590524673461914,1,0.8255801796913147,1.0,-0.0010576695203781128
0,-3.1075569495442323e-06,0.065976304558594,-0.04711838773621142,0.030339018149730477,0.10349335769319216,0.0,0.17820191185094458,-3.1075569495442323e-06,-0.9855153560638428,-0.008953984826803207,-0.06437941640615463,7.633383575011976e-06,2.7914023399353027,0.05249277874827385,3.2675998210906982,-0.26471296621343754,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,-0.9855153560638428,protenix_contact,0.4936021566390991,,,,,,,,0,2.253386974334717,2.268355369567871,0.014968395233154297,2,0.4936021566390991,1.0,-3.1075569495442323e-06
1,0.04552552476525307,-0.04839100794683212,0.032564438973015204,0.0010875319787420194,-0.07986579611788713,0.0,0.18841828844608383,-0.0006173943402245641,-4.507759094238281,-0.00886174663901329,0.04552552476525307,0.0009901541052386165,3.6293373107910156,0.11291849613189697,3.3392081260681152,-1.1179281776130665,contact_qp_grid,0.08,10,M8a,0,0.6,1.0,0.25,-4.507759094238281,protenix_contact,0.947376012802124,-4.507759094238281,-2.7046554565429686,0.0,0.7382425665855408,0.0,True,0.9999999999997782,0,2.7846856117248535,2.409292221069336,-0.3753933906555176,0,0.947376012802124,1.0,0.04552552476525307
0,-0.0010195797076448798,-0.04434937629635818,0.03890671338980698,0.16121225240224693,0.1027300989679246,0.0,0.16338452040612536,-0.0010195797076448798,-3.0468735694885254,-0.02776605449616909,-0.05682366341352463,0.00046900101006031036,3.107639789581299,0.10412855446338654,3.383572816848755,-0.783120716776466,contact_qp_grid,0.08,10,M8a,0,0.6,1.0,0.0,-3.0468735694885254,protenix_contact,0.8078646063804626,-3.0670340061187744,-1.8402204036712646,0.0,0.6094187498092651,0.0,True,0.9934267319530784,0,2.409292221069336,2.2512454986572266,-0.15804672241210938,1,0.8078646063804626,1.0,-0.0010195797076448798
2,0.0063158245757222176,0.06142546146089723,-0.04249673826081416,0.033428943587819185,0.08052213876264377,0.0,0.17683283561980784,3.1084291549632326e-06,-0.7537722587585449,0.0063158245757222176,-0.010180702432990074,3.5473872230795678e-06,2.8120362758636475,0.07737797498703003,3.318851947784424,-0.18940850704666445,contact_qp_grid,0.08,10,M8a,0,0.6,1.0,0.5,-0.7537722587585449,protenix_contact,0.4259311258792877,-0.7537722587585449,-0.45226335525512695,0.0,0.21949686110019684,0.0,True,0.9999999999986734,0,2.2512454986572266,2.291969060897827,0.040723562240600586,2,0.4259311258792877,1.0,0.0063158245757222176
0,-0.0006730621680617332,-0.04839100794683212,0.032564438973015204,0.0010875319787420194,-0.07986579611788713,0.0,0.18841828844608383,-0.0006730621680617332,-4.468356132507324,-0.04591314494609833,-0.01696634851396084,0.0009901541052386165,3.6293373107910156,0.11291849613189697,3.3392081260681152,-1.1329771720338613,contact_qp_grid,0.04,10,M8b,0,0.6,1.0,0.0,-4.468356132507324,protenix_contact,0.9498344659805298,-4.507759094238281,-2.7046554565429686,0.0,0.7438297271728516,0.0,True,0.9912588581358945,0,2.7846856117248535,2.4067673683166504,-0.3779182434082031,0,0.9498344659805298,1.0,-0.0006730621680617332
