aux_harm_count,aux_worst_directional_derivative,cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.0006423851009458303,-0.04839100794683212,0.032442085541783176,0.005784670810929963,-0.0792131104993658,0.0,0.18841828844608383,-0.0006423851009458303,-4.344930648803711,-0.04672219604253769,-0.017320308834314346,0.0009901541052386165,3.6320290565490723,0.11291849613189697,3.3392081260681152,-1.1024038846953772,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,-4.344930648803711,protenix_contact,0.9361547827720642,0,2.7846856117248535,2.412229537963867,-0.37245607376098633,0,0.9361547827720642,1.0,-0.0006423851009458303
0,-0.00012283032992854714,-0.05198393624270834,0.026905643605698255,0.035206799551634006,0.06035244820830773,0.0,0.16353074596547298,-0.00012283032992854714,-1.3581428527832031,-0.01223006285727024,-0.06376567482948303,0.0004519592912402004,3.0562219619750977,0.06885744631290436,3.3219032287597656,-0.35856535519997124,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,-1.3581428527832031,protenix_contact,0.5611457824707031,0,2.412229537963867,2.351011037826538,-0.0612185001373291,1,0.5611457824707031,1.0,-0.00012283032992854714
0,-0.0004651976632885635,-0.05525082175036971,0.09630114044474962,-0.020494306906795007,-0.08648452774803789,0.0,0.1771019455673181,-0.0004651976632885635,-0.7449119091033936,-0.01068331953138113,-0.04037567973136902,0.0003374745137989521,2.7043418884277344,0.0570845752954483,3.2517383098602295,-0.19910902650735807,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,-0.7449119091033936,protenix_contact,0.4386090338230133,0,2.351011037826538,2.3638405799865723,0.01282954216003418,2,0.4386090338230133,1.0,-0.0004651976632885635
1,0.04519708827137947,-0.04839100794683212,0.032442085541783176,0.005784670810929963,-0.0792131104993658,0.0,0.18841828844608383,-0.0005838288343511522,-4.3817644119262695,-0.009333781898021698,0.04519708827137947,0.0009901541052386165,3.6320290565490723,0.11291849613189697,3.3392081260681152,-1.0866212335968157,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.25,-4.3817644119262695,protenix_contact,0.9328576326370239,0,2.7846856117248535,2.4170289039611816,-0.3676567077636719,0,0.9328576326370239,1.0,0.04519708827137947
0,-0.0005976023385301232,-0.04365342305089454,0.01570857002708756,0.062053418286544676,-0.036329631002748906,0.0,0.16182760027998405,-0.0005976023385301232,-2.716646194458008,-0.04099259153008461,-0.06798318028450012,0.0004923862288706005,3.096034526824951,0.10366465151309967,3.382970094680786,-0.7065548921527807,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,-2.716646194458008,protenix_contact,0.7898314595222473,0,2.4170289039611816,2.3074636459350586,-0.10956525802612305,1,0.7898314595222473,1.0,-0.0005976023385301232
1,0.0004543498798739165,-0.0643794818507277,-0.07399558547580154,0.0540341007059326,0.028764511253016167,0.0,0.18273137419233473,0.0004543498798739165,-1.2938098907470703,-0.023521754890680313,-0.061403971165418625,7.610947795910761e-05,2.562297821044922,0.06513650715351105,3.3061885833740234,-0.34457031673082383,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.25,-1.2938098907470703,protenix_contact,0.562405526638031,0,2.3074636459350586,2.27773380279541,-0.029729843139648438,2,0.562405526638031,1.0,0.0004543498798739165
1,0.04519708827137947,-0.04839100794683212,0.032442085541783176,0.005784670810929963,-0.0792131104993658,0.0,0.18841828844608383,-0.0005838288343511522,-4.3817644119262695,-0.009333781898021698,0.04519708827137947,0.0009901541052386165,3.6320290565490723,0.11291849613189697,3.3392081260681152,-1.0866212335968157,contact_qp_grid,0.08,10,M8a,0,0.6,1.0,0.25,-4.3817644119262695,protenix_contact,0.9328576326370239,0,2.7846856117248535,2.4170289039611816,-0.3676567077636719,0,0.9328576326370239,1.0,0.04519708827137947
0,-0.0005991946090944111,-0.04365342305089454,0.01570857002708756,0.062053418286544676,-0.036329631002748906,0.0,0.16182760027998405,-0.0005991946090944111,-2.7036805152893066,-0.007619135547429323,-0.01324179582297802,0.0004923862288706005,3.096034526824951,0.10366465151309967,3.382970094680786,-0.6812851603172021,contact_qp_grid,0.08,10,M8a,0,0.6,1.0,0.0,-2.7036805152893066,protenix_contact,0.7719436883926392,0,2.4170289039611816,2.3102104663848877,-0.10681843757629395,1,0.7719436883926392,1.0,-0.0005991946090944111
1,0.00039094683597795665,-0.05768823938368266,-0.06723428757329698,0.10511354929616237,0.05535190806441009,0.0,0.18089206165091312,0.00039094683597795665,-1.1848020553588867,-0.011724886484444141,-0.015299570746719837,7.548456778749824e-05,2.5727286338806152,0.09611225128173828,3.3654990196228027,-0.3028588914385182,contact_qp_grid,0.08,10,M8a,0,0.6,1.0,0.25,-1.1848020553588867,protenix_contact,0.5270029306411743,0,2.3102104663848877,2.309494972229004,-0.0007154941558837891,2,0.5270029306411743,1.0,0.00039094683597795665
0,-0.0006423851009458303,-0.04839100794683212,0.032442085541783176,0.005784670810929963,-0.0792131104993658,0.0,0.18841828844608383,-0.0006423851009458303,-4.344930648803711,-0.04672219604253769,-0.017320308834314346,0.0009901541052386165,3.6320290565490723,0.11291849613189697,3.3392081260681152,-1.1024038846953772,contact_qp_grid,0.04,10,M8b,0,0.6,1.0,0.0,-4.344930648803711,protenix_contact,0.9361547827720642,0,2.7846856117248535,2.412229537963867,-0.37245607376098633,0,0.9361547827720642,1.0,-0.0006423851009458303
