cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,projected_step_norm,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
-0.04839100794683212,0.03464908913793418,0.002565816919092312,-0.08035448864546142,0.0,0.18841828844608383,-0.0007750675431452692,-4.821059703826904,-0.04578179866075516,-0.013635051436722279,0.0009901541052386165,3.6368374824523926,0.11291849613189697,3.3392081260681152,-1.2203129053668818,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,0.9823113083839417,0,2.7846856117248535,2.3864450454711914,-0.3982405662536621,0,0.9823113083839417,1.0,-0.0007750675431452692
-0.053555061260505,0.04044958697770773,-0.008279420393845495,0.05920391977750543,0.0,0.16347315603244658,-0.00026947975857183337,-1.3842359781265259,-0.01013712678104639,-0.06650568544864655,0.00036676216404885054,3.046950101852417,0.0696738064289093,3.326347827911377,-0.36528706752869766,naive_weighted,0.02,8,M3,1,0.0,1.0,0.0,0.5709477066993713,0,2.3864450454711914,2.3366177082061768,-0.04982733726501465,1,0.5709477066993713,1.0,-0.00026947975857183337
-0.058013354090444384,0.01722998025101686,-0.07463266037998942,-0.08776710181035206,0.0,0.17286349675349677,0.00022637232905253768,-1.0497510433197021,-0.004589722491800785,-0.03562973812222481,0.00014678265142720193,2.7245616912841797,0.05983973294496536,3.2537291049957275,-0.2724360329011688,naive_weighted,0.02,8,M3,1,0.0,1.0,0.25,0.5121018886566162,0,2.3366177082061768,2.342696189880371,0.006078481674194336,2,0.5121018886566162,1.0,0.00022637232905253768
-0.04839100794683212,0.03464908913793418,0.002565816919092312,-0.08035448864546142,0.0,0.18841828844608383,-0.0006985306972637773,-4.868276596069336,-0.009237799793481827,0.047716476023197174,0.0009901541052386165,3.6368374824523926,0.11291849613189697,3.3392081260681152,-1.207624112634221,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.25,0.9821085929870605,0,2.7846856117248535,2.387007713317871,-0.3976778984069824,0,0.9821085929870605,1.0,0.047716476023197174
-0.04503926535521886,0.05775175481648861,0.1436515873536444,0.07427545728570453,0.0,0.16157582316209576,-0.001072918064892292,-2.2366557121276855,-0.058819349855184555,-0.09933628141880035,0.00041482289088889956,3.116509199142456,0.10375890135765076,3.386087417602539,-0.5989710653666407,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,0.7200664281845093,0,2.387007713317871,2.284529209136963,-0.1024785041809082,1,0.7200664281845093,1.0,-0.001072918064892292
0.06790931682874858,-0.019896577158111578,-0.08558373790908824,0.028841771822402242,0.0,0.17375912462046308,-2.1784253476653248e-05,-1.048019528388977,0.0010020546615123749,-0.050410520285367966,3.566684972611256e-05,2.7486257553100586,0.05066642165184021,3.278102397918701,-0.2743624445665773,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.25,0.5028907060623169,0,2.284529209136963,2.2857420444488525,0.0012128353118896484,2,0.5028907060623169,1.0,0.0010020546615123749
-0.03058132189602512,-0.011649282683382674,0.04800937686643831,-0.016982577978099964,0.0,0.21768897981714955,0.0027748006395995617,-14.381629943847656,-0.06478717178106308,0.04971173405647278,0.006739187519997358,3.7417306900024414,0.11875367164611816,3.3163044452667236,-3.5984826452331617,naive_weighted,0.02,8,M3,1,0.0,1.0,0.5,1.522038459777832,1,2.693592071533203,2.0029025077819824,-0.6906895637512207,0,1.522038459777832,1.0,0.04971173405647278
-0.013781517274551413,0.06833565790014204,0.017941194985572808,0.013885740404293715,0.0,0.18403281020197368,-0.004607274197041988,-12.813516616821289,0.019903533160686493,-0.025080455467104912,0.009799613617360592,2.502127170562744,0.059067368507385254,3.3295111656188965,-3.2058252033311874,naive_weighted,0.02,8,M3,1,0.0,1.0,0.25,1.5392998456954956,1,2.0029025077819824,1.9045270681381226,-0.09837543964385986,1,1.5392998456954956,1.0,0.019903533160686493
-0.04354425501645695,-0.031649173828909694,-0.054599440633297365,-0.02929736072126969,0.0,0.20977342378599445,0.0006797137903049588,-0.9560390114784241,-0.019106343388557434,-0.08278219401836395,0.00573386438190937,2.2157809734344482,0.08032488822937012,3.308084487915039,-0.2643119587737601,naive_weighted,0.02,8,M3,1,0.0,1.0,0.25,0.5034927129745483,1,1.9045270681381226,2.0377554893493652,0.13322842121124268,2,0.5034927129745483,1.0,0.0006797137903049588
-0.03058132189602512,-0.011649282683382674,0.04800937686643831,-0.016982577978099964,0.0,0.21768897981714955,-0.015821728855371475,-2.7485413551330566,-0.12193003296852112,-0.1485331654548645,0.006739187519997358,3.7417306900024414,0.11875367164611816,3.3163044452667236,-0.7587065706029534,contact_preserving_soft_cone,0.08,10,M7c,1,0.6,1.0,0.0,0.4855014979839325,1,2.693592071533203,2.559171676635742,-0.13442039489746094,0,0.4855014979839325,1.0,-0.015821728855371475
