aux_harm_count,aux_worst_directional_derivative,cos_charge_target__trigram_naturalness,cos_protenix_contact__charge_target,cos_protenix_contact__solubility_limit,cos_protenix_contact__trigram_naturalness,cos_solubility_limit__charge_target,cos_solubility_limit__trigram_naturalness,dir_charge_target,dir_protenix_contact,dir_solubility_limit,dir_trigram_naturalness,hardening_fraction,hardening_mean_margin,hardening_mean_max_prob,hardening_new_positions,hardening_total_positions,loss_charge_target,loss_protenix_contact,loss_solubility_limit,loss_trigram_naturalness,mean_oracle_descent,method,method_aux_slack,method_cone_denominator,method_hardening_max_fraction,method_hardening_sample_count,method_hardening_threshold,method_id,method_max_aux_harms,method_min_primary_descent_ratio,method_terminal_anneal_final_temperature,oracle_harm_rate,primary_directional_derivative,primary_oracle,projected_step_norm,qp_best_primary_derivative,qp_min_allowed_primary_derivative,qp_selected_aux_violation,qp_selected_contact_distance,qp_selected_contact_violation,qp_selected_feasible,qp_selected_primary_ratio,seed,sequence_entropy,sequence_entropy_after,sequence_entropy_delta,step,step_norm,terminal_anneal_temperature,worst_oracle_directional_derivative
0,-0.0005316699971444905,-0.04839100794683212,0.029964471149487658,0.004073547337973905,-0.07878868513897454,0.0,0.18841828844608383,-0.0005316699971444905,-4.443285942077637,-0.04617621377110481,-0.016947466880083084,0.0,0.05337988957762718,0.1913032978773117,0.0,0.0,0.0009901541052386165,3.6307291984558105,0.11291849613189697,3.3392081260681152,-1.1267353231814923,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-4.443285942077637,protenix_contact,0.9451421499252319,,,,,,,,0,2.7846856117248535,2.4075264930725098,-0.37715911865234375,0,0.9451421499252319,1.0,-0.0005316699971444905
0,-0.0002411278401268646,-0.05076896165364342,0.036908525905705376,0.032341702407850864,0.05708292229538338,0.0,0.16399818350640977,-0.0002411278401268646,-1.2789649963378906,-0.013076474890112877,-0.06411051750183105,0.0,0.05504138767719269,0.19954350590705872,0.0,0.0,0.0005298545002005994,3.0531859397888184,0.06933094561100006,3.3216254711151123,-0.33909827914249036,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-1.2789649963378906,protenix_contact,0.5469297766685486,,,,,,,,0,2.4075264930725098,2.3523449897766113,-0.05518150329589844,1,0.5469297766685486,1.0,-0.0002411278401268646
0,-0.0005152476951479912,-0.05581573026984758,0.11049215825812765,-0.05119659857663496,-0.1244213434597272,0.0,0.1775688333554002,-0.0005152476951479912,-0.6521108746528625,-0.011471008881926537,-0.03400691598653793,0.0,0.04773437976837158,0.19715142250061035,0.0,0.0,0.00031616000342182815,2.733985662460327,0.056772541254758835,3.252382516860962,-0.17452601180411875,naive_weighted,0.02,8,0.0,0,0.0,M3,1,0.0,1.0,0.0,-0.6521108746528625,protenix_contact,0.411624938249588,,,,,,,,0,2.3523449897766113,2.3807852268218994,0.028440237045288086,2,0.411624938249588,1.0,-0.0005152476951479912
1,0.0452347993850708,-0.04839100794683212,0.029964471149487658,0.004073547337973905,-0.07878868513897454,0.0,0.18841828844608383,-0.00048090709606185555,-4.480517864227295,-0.008965892717242241,0.0452347993850708,0.0,0.053120046854019165,0.19166317582130432,0.0,0.0,0.0009901541052386165,3.6307291984558105,0.11291849613189697,3.3392081260681152,-1.111182466163882,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.25,-4.480517864227295,protenix_contact,0.9420379400253296,,,,,,,,0,2.7846856117248535,2.4124457836151123,-0.3722398281097412,0,0.9420379400253296,1.0,0.0452347993850708
0,-0.0006868396885693073,-0.04244891191270756,0.017604530451242783,0.08060075504666318,-0.01625230664686447,0.0,0.16245658281819042,-0.0006868396885693073,-2.9452879428863525,-0.04583115503191948,-0.07535206526517868,0.0,0.052021853625774384,0.21030621230602264,0.0,0.0,0.0005676402361132205,3.0944061279296875,0.10402610152959824,3.382514476776123,-0.766789500718005,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.0,-2.9452879428863525,protenix_contact,0.8218899965286255,,,,,,,,0,2.4124457836151123,2.3008179664611816,-0.11162781715393066,1,0.8218899965286255,1.0,-0.0006868396885693073
1,0.0004923942615278065,-0.06483799828524514,-0.05322188997107221,-0.006847213960530213,0.022369725048374763,0.0,0.18496772867886405,0.0004923942615278065,-2.11447811126709,-0.009669024497270584,-0.07111747562885284,0.0,0.05169421434402466,0.2203729748725891,0.0,0.0,8.856754720909521e-05,2.6126418113708496,0.061354927718639374,3.2980129718780518,-0.5486930542829214,contact_preserving_soft_cone,0.08,10,0.0,0,0.0,M7c,1,0.6,1.0,0.25,-2.11447811126709,protenix_contact,0.7017807960510254,,,,,,,,0,2.3008179664611816,2.251502752304077,-0.04931521415710449,2,0.7017807960510254,1.0,0.0004923942615278065
1,0.0452347993850708,-0.04839100794683212,0.029964471149487658,0.004073547337973905,-0.07878868513897454,0.0,0.18841828844608383,-0.00048090709606185555,-4.480517864227295,-0.008965892717242241,0.0452347993850708,0.0,0.053120046854019165,0.19166317582130432,0.0,0.0,0.0009901541052386165,3.6307291984558105,0.11291849613189697,3.3392081260681152,-1.111182466163882,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.25,-4.480517864227295,protenix_contact,0.9420379400253296,-4.480517864227295,-2.688310718536377,0.0,0.7325403690338135,0.0,True,0.9999999999997768,0,2.7846856117248535,2.4124457836151123,-0.3722398281097412,0,0.9420379400253296,1.0,0.0452347993850708
0,-0.00065477384487167,-0.04244891191270756,0.017604530451242783,0.08060075504666318,-0.01625230664686447,0.0,0.16245658281819042,-0.00065477384487167,-2.923515796661377,-0.014137562364339828,-0.023914797231554985,0.0,0.053257640451192856,0.21098986268043518,0.0,0.0,0.0005676402361132205,3.0944061279296875,0.10402610152959824,3.382514476776123,-0.7405557325255359,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.0,-2.923515796661377,protenix_contact,0.8026739358901978,-2.9452879428863525,-1.7671727657318115,0.0,0.6097502112388611,0.0,True,0.9926078038384825,0,2.4124457836151123,2.3031387329101562,-0.10930705070495605,1,0.8026739358901978,1.0,-0.00065477384487167
1,0.0005749987903982401,-0.058518409214305074,-0.060624090920880225,0.07111672078547858,0.04856061815879192,0.0,0.1834232963695304,0.0005749987903982401,-2.267618179321289,-0.00397637952119112,-0.0249442420899868,0.0,0.04723537713289261,0.2165980041027069,0.0,0.0,0.00010168681910727173,2.624152660369873,0.0901273638010025,3.3543410301208496,-0.5739909505355172,contact_qp_grid,0.08,10,0.0,0,0.0,M8a,0,0.6,1.0,0.25,-2.267618179321289,protenix_contact,0.7106079459190369,-2.286062240600586,-1.3716373443603516,0.0,0.5115065574645996,0.0,True,0.9919319513910333,0,2.3031387329101562,2.2711188793182373,-0.032019853591918945,2,0.7106079459190369,1.0,0.0005749987903982401
1,0.0452347993850708,-0.04839100794683212,0.029964471149487658,0.004073547337973905,-0.07878868513897454,0.0,0.18841828844608383,-0.00048090709606185555,-4.480517864227295,-0.008965892717242241,0.0452347993850708,0.0,0.053120046854019165,0.19166317582130432,0.0,0.0,0.0009901541052386165,3.6307291984558105,0.11291849613189697,3.3392081260681152,-1.111182466163882,contact_qp_grid_contact_first,0.06,10,0.0,0,0.0,M8g,0,0.6,1.0,0.25,-4.480517864227295,protenix_contact,0.9420379400253296,-4.480517864227295,-2.688310718536377,0.0,0.7325403690338135,0.0,True,0.9999999999997768,0,2.7846856117248535,2.4124457836151123,-0.3722398281097412,0,0.9420379400253296,1.0,0.0452347993850708
